"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p49","p50","p51","p52","p53","p54","p55","p56","p57","p58","p59","p60","p61","p62","p63","p64","p65","p66","p67","p68","p69","p70","p71","p72","p73","p74","p75","p76","p77","p78","p79","p80","p81","p82","p83","p84","p85","p86","p87","p88","p89","p90","p91","p92","p93","p94","p95","p96","p97","p98","p99","p100"
51.3814594040143,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3794904952206,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU54","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY88","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3776789915464,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3767510569294,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY88","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3757430378039,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3740529468024,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PHA5","G3PHH2","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY88","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3733067784922,"G3N508","G3N556","G3N5P1","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NE83","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU54","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY88","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.372618446012,"G3N4W6","G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NH29","G3NI23","G3NIG2","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU54","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE1","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3714472603466,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q5J4","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3708384055319,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NH29","G3NI23","G3NIG2","G3NK83","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU54","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3701361606342,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU54","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE1","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ10","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3700412775938,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU54","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PFN1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
51.3697687033128,"G3N508","G3N556","G3N5P1","G3N6A9","G3N6B5","G3N738","G3N754","G3N7U2","G3N7Z3","G3N8I6","G3N8J1","G3NBG2","G3NBJ8","G3NBU5","G3NCF7","G3NDY7","G3NE33","G3NEJ8","G3NG36","G3NH29","G3NI23","G3NIG2","G3NK83","G3NKB4","G3NLJ0","G3NPV3","G3NR75","G3NS10","G3NSD2","G3NT23","G3NTD6","G3NU97","G3NUU3","G3NW14","G3NXX5","G3NY86","G3NYX9","G3NZM5","G3P018","G3P2H2","G3P3G8","G3P3K4","G3P5V0","G3P654","G3P6S6","G3P7N4","G3P7V9","G3P8Y4","G3P982","G3PAZ5","G3PCE2","G3PDH7","G3PEH1","G3PHA5","G3PHH2","G3PI27","G3PIF1","G3PIG1","G3PIZ9","G3PJ29","G3PJV6","G3PLE8","G3PP62","G3PP78","G3PPW2","G3PQX4","G3PR19","G3PU02","G3PUE2","G3PVK4","G3PWE5","G3PY06","G3PY72","G3PY88","G3PY99","G3PZQ2","G3PZV8","G3PZX4","G3Q0N5","G3Q162","G3Q289","G3Q2Y3","G3Q393","G3Q3X8","G3Q4Z0","G3Q5J2","G3Q6T4","G3Q7P7","G3Q874","G3Q8M5","G3Q932","G3Q9F3","G3Q9K3","G3Q9L4","G3QA72","G3QB34","G3QBK3","G3QBL0","G3QBP3","G3QBU5"
