"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
2.49925494194031,"G3N4W6","G3N5P1","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIT1","G3NNI9","G3NSC0","G3NYB9","G3P0D8","G3P507","G3PKP7","G3PU11","G3PWU7","G3Q307","G3Q9S7","G3Q9U7"
2.48821848630905,"G3N4W6","G3N6H3","G3NA14","G3NB86","G3NDS5","G3NGV7","G3NIG2","G3NIT1","G3NNI9","G3NR25","G3NSC0","G3P0D8","G3P507","G3PKP7","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q9S7","G3Q9U7"
2.48159405589104,"G3N4W6","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NIT1","G3NR25","G3NSC0","G3P0D8","G3P507","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q6S8","G3Q9S7","G3Q9U7"
2.48011702299118,"G3N4W6","G3N6H3","G3NB86","G3NDS5","G3NGV7","G3NIG2","G3NIT1","G3NNI9","G3NR25","G3NSC0","G3P0D8","G3P507","G3PID6","G3PKP7","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q9S7","G3Q9U7"
2.4777592420578,"G3N6H3","G3NBX6","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NNI9","G3NR25","G3NRM0","G3NSC0","G3P0D8","G3P507","G3PCE2","G3PT08","G3PU11","G3PZS2","G3Q307","G3Q4P6","G3Q9S7","G3Q9U7"
2.46012699604034,"G3N4W6","G3N6B5","G3N6H3","G3NB86","G3ND40","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NIT1","G3NRM0","G3NYB9","G3P0D8","G3P507","G3PJ29","G3PKP7","G3PU11","G3Q307","G3Q9S7","G3QCM9"
2.45657581090927,"G3N4W6","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NNI9","G3NR25","G3NSC0","G3P0D8","G3P507","G3PKP7","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q4Z0","G3Q9S7","G3Q9U7"
2.45199543237686,"G3N4W6","G3N6H3","G3N8I6","G3NA14","G3NB86","G3NDS5","G3NGV7","G3NIT1","G3NNI9","G3NR25","G3NSC0","G3NW63","G3P0D8","G3P507","G3P8F3","G3PCE2","G3PU11","G3Q307","G3Q9S7","G3Q9U7"
2.44778254628181,"G3N5P1","G3N6H3","G3NA14","G3ND40","G3ND77","G3NDS5","G3NGV7","G3NNI9","G3NRM0","G3NSC0","G3NW63","G3P0D8","G3P4Q3","G3P507","G3PZS2","G3Q297","G3Q4P6","G3Q4Z0","G3Q6S8","G3Q9S7"
2.44331774115562,"G3N5P1","G3N6H3","G3N754","G3NA14","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NGV7","G3P0D8","G3P507","G3P8K6","G3PQX4","G3PU11","G3PWU7","G3Q307","G3Q4P6","G3Q6S8","G3Q9S7","G3Q9U7"
2.44232136011124,"G3N4W6","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NIT1","G3NR25","G3NSC0","G3P0D8","G3P507","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q4P6","G3Q6S8","G3Q9S7","G3Q9U7"
2.4392574429512,"G3N4W6","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NNI9","G3NRM0","G3NSC0","G3P0D8","G3P507","G3PKP7","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q9S7","G3Q9U7"
2.4391276538372,"G3N4W6","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NJR4","G3NNI9","G3NRM0","G3NTG1","G3P507","G3PCE2","G3PJ29","G3PKP7","G3PU11","G3Q307","G3Q9S7","G3QBE9","G3QCM9"
2.43788594007492,"G3N4W6","G3N6H3","G3ND77","G3NDS5","G3NGV7","G3NNI9","G3NR25","G3NRM0","G3NSC0","G3NXQ8","G3P507","G3P8F3","G3PCE2","G3PJ42","G3PU11","G3PWU7","G3PZS2","G3Q297","G3Q9S7","G3Q9U7"
2.43666270375252,"G3N4W6","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIT1","G3NNI9","G3NR25","G3NSC0","G3P0D8","G3P507","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q6S8","G3Q9S7","G3Q9U7"
2.43240393698215,"G3N4W6","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NIT1","G3NRM0","G3NTG1","G3P0D8","G3P507","G3PJ29","G3PKP7","G3PTQ9","G3PU11","G3Q307","G3Q9S7","G3QBE9","G3QCM9"
2.4305225610733,"G3N4W6","G3N6H3","G3NA14","G3NB86","G3ND40","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NIT1","G3NRM0","G3NYB9","G3P0D8","G3P507","G3PJ29","G3PKP7","G3Q307","G3Q4P6","G3Q9S7","G3QCM9"
2.42945244908333,"G3N4W6","G3N6B5","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NIT1","G3NR25","G3NSC0","G3P0D8","G3P507","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q9S7","G3Q9U7"
2.42824220657349,"G3N4W6","G3N6H3","G3NB21","G3NB86","G3ND40","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NIT1","G3NRM0","G3NYB9","G3P0D8","G3P507","G3PJ29","G3PKP7","G3PXB8","G3Q307","G3Q9S7","G3QCM9"
2.42643398046494,"G3N4W6","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NIT1","G3NR25","G3NSC0","G3P0D8","G3P507","G3P8K6","G3PU11","G3PWU7","G3PZS2","G3Q307","G3Q4P6","G3Q9S7","G3Q9U7"
2.42631903290749,"G3N4W6","G3N5P1","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIT1","G3NR25","G3NRM0","G3NSC0","G3NYB9","G3P0D8","G3P507","G3PKP7","G3PU11","G3PWU7","G3Q307","G3Q9S7"
2.42610636353493,"G3N4W6","G3N6B5","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NNI9","G3NR25","G3NRM0","G3NSC0","G3NYB9","G3P0D8","G3P507","G3PCE2","G3PU11","G3PWU7","G3PY06","G3PZS2","G3Q9S7"
2.42604738473892,"G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NRM0","G3NTG1","G3NYB9","G3P0D8","G3P507","G3P8K6","G3PKP7","G3PWU7","G3Q307","G3Q4P6","G3Q4R3","G3Q9S7","G3QCM9"
2.42520523071289,"G3N4W6","G3N6B5","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NNI9","G3NR25","G3NRM0","G3NSC0","G3NYB9","G3P0D8","G3P507","G3PCE2","G3PKP7","G3PU11","G3PZS2","G3Q307","G3Q9S7"
2.42273616790771,"G3N4W6","G3N6H3","G3NB21","G3NB86","G3ND40","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NIT1","G3NRM0","G3P0D8","G3P507","G3PJ29","G3PKP7","G3PU11","G3Q307","G3Q9S7","G3QBE9","G3QCM9"
2.42215982079506,"G3N4W6","G3N6B5","G3N6H3","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NNI9","G3NR25","G3NRM0","G3NSC0","G3NXQ8","G3P507","G3PCE2","G3PU11","G3PWU7","G3PZS2","G3Q9S7","G3Q9U7"
2.42145475745201,"G3N4W6","G3N6H3","G3NB21","G3NB86","G3ND40","G3ND77","G3NDS5","G3NEJ8","G3NGV7","G3NIT1","G3NRM0","G3P0D8","G3P507","G3PJ29","G3PKP7","G3PU11","G3PXB8","G3Q307","G3Q9S7","G3QCM9"
2.42135021090508,"G3N4W6","G3N6H3","G3NA14","G3NB86","G3ND77","G3NDS5","G3NGV7","G3NIG2","G3NR25","G3NSC0","G3P0D8","G3P507","G3PU11","G3PWU7","G3PZS2","G3Q297","G3Q307","G3Q6S8","G3Q9S7","G3Q9U7"
2.42026302218437,"G3N4W6","G3N6H3","G3NA14","G3ND77","G3NDS5","G3NGV7","G3NR25","G3NSC0","G3NTG1","G3P0D8","G3P507","G3PQX4","G3PU11","G3PWU7","G3PZS2","G3Q297","G3Q307","G3Q6S8","G3Q9S7","G3Q9U7"
