"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
9.0207956135273,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3PZH5","G3Q2D6","G3Q2Y3","G3Q3C4","G3Q972","G3QC15","Q804E3"
9.01854110136628,"G3N680","G3NCL3","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
9.01463904231787,"G3NCL3","G3NGT4","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
9.01107855513692,"G3NCL3","G3NGT4","G3NIW2","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NXW0","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3PYU1","G3Q2Y3","G3Q3C4","G3QC15"
9.0099673345685,"G3N680","G3NCL3","G3NGT4","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
9.00905206799507,"G3N680","G3N8X9","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q2D6","G3Q3C4","G3Q972","G3QC15","Q804E3"
9.0086661465466,"G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
9.00494424253702,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NRG5","G3NX96","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
9.00144227594137,"G3N680","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3PZH5","G3Q2D6","G3Q2Y3","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
9.00049247592688,"G3NCL3","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PPP7","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.99700913578272,"G3N680","G3NGT4","G3NI60","G3NJS1","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NZH1","G3P1D2","G3PNK3","G3PPP6","G3PQL2","G3Q163","G3Q2D6","G3Q2Y3","G3Q972","G3QC15","Q804E3"
8.99690604582429,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NXW0","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PPP6","G3PYU1","G3Q2Y3","G3Q3C4","G3QC15","Q804E3"
8.99670890346169,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY67","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3Q2D6","G3Q2Y3","G3Q3C4","G3QC15","Q804E3"
8.99559639394283,"G3N680","G3N8X9","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3NY67","G3NZH1","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PZH5","G3PZK8","G3Q3C4","G3Q659","Q804E3"
8.99501096829772,"G3N680","G3N8X9","G3NCL3","G3NGT4","G3NI60","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q3C4","G3QC15","Q804E3"
8.99496135488153,"G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q2Y3","G3Q3A5","G3Q3C4","G3QC15"
8.99248535186052,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3PYU1","G3Q2D6","G3Q2Y3","G3Q972","G3QC15","Q804E3"
8.99014407768846,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.99014380946755,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q2D6","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.98926701024175,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NX96","G3NXW0","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3PYU1","G3Q2Y3","G3Q3C4","G3QC15","Q804E3"
8.98923391103745,"G3N680","G3NCL3","G3NNM8","G3NNT7","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3PQL2","G3PYU1","G3PZK8","G3Q2D6","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.98909133672714,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NRG5","G3NX96","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q972","G3QC15","Q804E3"
8.98887722194195,"G3NCL3","G3NGT4","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3PZK8","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.98569178208709,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NX96","G3NXW0","G3NY15","G3NY67","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.98413493484259,"G3N680","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NZH1","G3P1D2","G3PCK3","G3PH93","G3PNK3","G3PPP6","G3PZH5","G3Q2D6","G3Q2Y3","G3Q972","G3QAJ2","G3QC15"
8.98307223618031,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3Q2D6","G3Q2Y3","G3Q972","G3QC15","Q804E3"
8.98300952091813,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.98277592658997,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
