val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
2.532147139310837,3,13,14,16,17,22,29,37,40,41,42,51,62,63,67,74,81,94,96,98
2.5297012478113174,2,12,13,17,18,19,20,21,22,26,29,34,36,46,51,63,70,74,80,94
2.5229896306991577,3,6,12,13,14,17,19,29,40,41,42,51,54,60,63,74,81,87,94,98
2.5164645314216614,2,3,13,14,16,17,22,29,40,41,42,48,51,54,62,67,74,81,94,98
2.511392503976822,2,13,17,18,19,20,21,22,26,29,31,34,36,42,46,51,63,70,74,94
2.5074873566627502,2,3,11,13,16,17,19,20,21,22,26,29,31,36,51,59,70,74,81,94
2.5012713372707367,13,17,18,19,20,21,22,26,29,34,36,41,46,49,51,63,70,74,80,83
2.4993449449539185,3,13,14,16,17,22,29,37,40,41,42,51,62,67,70,74,81,94,96,98
2.492055267095566,3,6,12,13,14,16,17,29,40,41,42,51,54,62,67,74,81,94,96,98
2.488006070256233,2,3,12,16,17,19,20,21,22,26,29,42,51,57,59,70,81,85,90,94
2.4869190603494644,12,13,17,18,19,20,21,22,26,29,34,36,46,51,63,70,74,80,83,94
2.4865870773792267,2,12,13,17,18,19,20,21,22,26,29,34,36,46,51,63,70,74,80,83
2.4852349162101746,2,3,6,12,16,17,19,20,21,22,36,41,42,44,51,59,70,85,94,95
2.4824571758508682,2,12,13,17,18,19,20,21,22,26,29,31,34,36,46,51,63,70,74,94
2.4820903837680817,2,3,13,14,16,17,22,29,40,41,42,48,51,62,63,67,74,81,94,98
2.4813600033521652,2,12,13,18,19,20,21,22,26,29,34,36,42,46,51,63,70,74,80,94
2.4801131188869476,2,3,11,16,17,19,20,21,26,29,31,36,42,43,51,59,70,74,90,94
2.4794286489486694,2,3,6,13,17,20,21,24,26,35,36,41,51,59,79,81,83,85,86,94
2.476694107055664,2,3,11,13,16,17,19,20,21,22,26,31,36,42,51,59,70,74,90,94
2.4763455390930176,2,3,11,16,17,20,21,22,26,28,36,44,51,66,69,70,74,80,86,92
2.4759062379598618,2,12,13,17,18,19,21,22,26,29,34,36,42,46,51,63,70,74,80,94
2.4748619496822357,2,3,9,17,19,20,21,22,24,26,34,41,42,44,51,59,70,85,90,94
2.4748469293117523,2,3,11,13,17,19,20,21,22,26,29,31,36,51,59,70,74,81,85,94
2.4730734527111053,3,13,14,16,17,29,37,40,41,42,48,51,54,62,74,81,94,96,98,99
2.4730454683303833,3,13,14,16,17,22,29,39,40,41,42,51,62,67,74,81,83,94,96,98
2.4721878319978714,2,3,6,13,17,20,21,24,26,35,36,41,51,59,79,81,83,85,90,94
2.471777021884918,2,3,11,13,17,20,21,22,26,29,32,35,36,51,69,70,74,80,86,94
2.471346139907837,1,2,3,12,13,16,17,19,20,21,22,36,41,42,44,51,59,70,94,95
2.4701257050037384,3,11,16,17,20,21,22,26,29,40,43,51,57,66,70,74,77,80,84,86
2.4676996171474457,1,2,3,14,16,17,19,22,40,41,42,44,51,59,70,81,85,94,98,99
2.4667704105377197,2,3,5,11,13,16,17,19,20,21,26,31,36,42,51,59,70,74,90,94
2.4658030569553375,2,3,13,17,20,21,22,26,28,32,36,46,51,69,70,74,80,83,85,99
2.4657285511493683,2,3,11,13,17,19,20,21,26,28,29,35,36,51,70,71,74,80,81,90
2.464109793305397,2,12,13,17,18,19,20,21,22,26,29,34,46,51,63,70,74,80,83,94
2.463961571455002,2,3,11,17,19,20,21,22,26,29,35,36,51,66,69,70,74,80,86,87
2.4634106755256653,3,13,14,16,17,26,29,40,41,42,51,54,62,67,74,81,83,94,96,98
