"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
3.73327615857124,"G3N508","G3N6B5","G3N738","G3N8J1","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3NXX5","G3P5V0","G3PFN1","G3PI27","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.7224232852459,"G3N508","G3N738","G3N754","G3N8J1","G3NBU5","G3NCF7","G3NDY7","G3NH29","G3NTD6","G3NU97","G3NXX5","G3NY86","G3NYX9","G3P6S6","G3PIG1","G3PIZ9","G3PWE5","G3Q7P7","G3Q874","G3Q9K3"
3.69990801811218,"G3N508","G3N6B5","G3N738","G3N8J1","G3NG36","G3NI23","G3NLJ0","G3NPV3","G3NTD6","G3NXX5","G3P5V0","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q8M5","G3Q9F3","G3QBU5"
3.69854342937469,"G3N508","G3N6B5","G3N738","G3N8J1","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3NXX5","G3PFN1","G3PI27","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q9F3","G3QBU5"
3.69658279418945,"G3N508","G3N6B5","G3N738","G3N8J1","G3NG36","G3NI23","G3NLJ0","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PI27","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.69213789701462,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3PDH7","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QBU5"
3.68080872297287,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3PDH7","G3PI27","G3PJ29","G3PP78","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q7P7","G3QBU5"
3.67915098369122,"G3N508","G3N6B5","G3N738","G3N8J1","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3P5V0","G3PFN1","G3PI27","G3PWE5","G3PY72","G3PY99","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.67913025617599,"G3N508","G3N6B5","G3N738","G3N8J1","G3NBJ8","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3NXX5","G3P5V0","G3PFN1","G3PI27","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.67627391219139,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NSD2","G3NTD6","G3NXX5","G3PDH7","G3PI27","G3PJ29","G3PP78","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QBU5"
