"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
8.36960456520319,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.33796931803226,"G3NDE4","G3NJU3","G3NPA2","G3NPV3","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.33185222744942,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","Q804E3"
8.32819803804159,"G3N4W6","G3NDE4","G3NRK0","G3NS10","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","Q804E3"
8.32539544999599,"G3N4W6","G3NDE4","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.32516919076443,"G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NXQ8","G3NYB9","G3P920","G3PIX9","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","Q804E3"
8.32404997199774,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PP78","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q972","G3QAJ2"
8.32244059443474,"G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PPP6","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","G3QAJ2"
8.32106121629477,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q3A5","G3Q972","Q804E3"
8.31820304691792,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.31353282183409,"G3N4W6","G3NDE4","G3NJU3","G3NPV3","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.30763017386198,"G3N4W6","G3NDE4","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","G3QAJ2"
8.30460132658482,"G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","G3QAJ2"
8.30136453360319,"G3N4W6","G3NDE4","G3NJU3","G3NPA2","G3NRK0","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q2Y3","G3Q972","G3QAJ2"
8.30125270783901,"G3NDE4","G3NJU3","G3NPA2","G3NPV3","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.29579493403435,"G3N4W6","G3NDE4","G3NJU3","G3NPA2","G3NPV3","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYU1","G3Q040","G3Q972","G3QAJ2"
8.29403449594975,"G3N4W6","G3NDE4","G3NPA2","G3NRK0","G3NS10","G3NUA6","G3NYB9","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q393","G3Q972","G3QAJ2"
8.29290549457073,"G3NDE4","G3NPA2","G3NPV3","G3NRK0","G3NUA6","G3NYB9","G3P7N4","G3P920","G3PIX9","G3PKP7","G3PM61","G3PQL2","G3PQX4","G3PSB5","G3PY88","G3PYA1","G3PYU1","G3Q040","G3Q972","G3QAJ2"
