"node","string_id","mcl_cluster","x_position","y_position"
"G3N577","69293.ENSGACP00000000447",3,0.809326424870466,0.791984732824428
"G3N680","69293.ENSGACP00000000804",11,0.601813471502591,0.263740458015267
"G3N8J1","69293.ENSGACP00000019637",12,0.119170984455959,0.544656488549618
"G3N8Q3","69293.ENSGACP00000001689",3,0.727720207253886,0.755343511450382
"G3N8X9","69293.ENSGACP00000001765",3,0.823316062176166,0.754580152671756
"G3NA14","69293.ENSGACP00000002156",13,0.583937823834197,0.65
"G3NBA2","69293.ENSGACP00000002598",1,0.339119170984456,0.123282442748092
"G3NBM8","69293.ENSGACP00000002722",2,0.65699481865285,0.424809160305343
"G3NDE4","69293.ENSGACP00000003344",1,0.233419689119171,0.181297709923664
"G3NEJ2","69293.ENSGACP00000003743",6,0.67020725388601,0.597328244274809
"G3NFC1","69293.ENSGACP00000004023",2,0.500777202072539,0.708778625954199
"G3NFG6","69293.ENSGACP00000004068",2,0.685751295336788,0.384351145038168
"G3NGD3","69293.ENSGACP00000004389",14,0.494559585492228,0.175954198473282
"G3NGT4","69293.ENSGACP00000004541",15,0.601813471502591,0.158396946564886
"G3NI60","69293.ENSGACP00000005020",16,0.726943005181347,0.333969465648855
"G3NIW2","69293.ENSGACP00000005272",2,0.751813471502591,0.248473282442748
"G3NJS1","69293.ENSGACP00000005583",17,0.333678756476684,0.685114503816794
"G3NJU3","69293.ENSGACP00000005605",3,0.648445595854922,0.774427480916031
"G3NLD8","69293.ENSGACP00000006151",18,0.709067357512953,0.140839694656489
"G3NNM8","69293.ENSGACP00000006942",8,0.712176165803109,0.193511450381679
"G3NNT7","69293.ENSGACP00000007001",19,0.17279792746114,0.140839694656489
"G3NPA2","69293.ENSGACP00000007166",1,0.39740932642487,0.169847328244275
"G3NRG5","69293.ENSGACP00000007932",20,0.45880829015544,0.123282442748092
"G3NRK0","69293.ENSGACP00000007967",2,0.601036269430052,0.35763358778626
"G3NU97","69293.ENSGACP00000008915",2,0.716839378238342,0.475190839694656
"G3NUM7","69293.ENSGACP00000009045",2,0.724611398963731,0.432442748091603
"G3NW63","69293.ENSGACP00000009582",1,0.289378238341969,0.156870229007634
"G3NX96","69293.ENSGACP00000009965",8,0.601813471502591,0.209541984732824
"G3NXW0","69293.ENSGACP00000010180",21,0.762694300518135,0.614885496183206
"G3NY15","69293.ENSGACP00000010235",5,0.47979274611399,0.594274809160305
"G3NY67","69293.ENSGACP00000010287",9,0.203108808290155,0.717175572519084
"G3NYB9","69293.ENSGACP00000010339",1,0.259067357512953,0.330916030534351
"G3NZH1","69293.ENSGACP00000010744",22,0.154922279792746,0.386641221374046
"G3NZN3","69293.ENSGACP00000010806",7,0.694300518134715,0.839312977099237
"G3P1D2","69293.ENSGACP00000011405",23,0.154922279792746,0.333969465648855
"G3P3A2","69293.ENSGACP00000012075",10,0.214766839378238,0.559160305343511
"G3P5J3","69293.ENSGACP00000012866",5,0.332901554404145,0.509541984732824
"G3P5V0","69293.ENSGACP00000012973",2,0.633678756476684,0.556106870229008
"G3P6R2","69293.ENSGACP00000013285",24,0.566062176165803,0.105725190839695
"G3P846","69293.ENSGACP00000013770",1,0.505440414507772,0.226335877862595
"G3P8F3","69293.ENSGACP00000013877",1,0.390414507772021,0.369847328244275
"G3P920","69293.ENSGACP00000014094",3,0.866062176165803,0.855343511450382
"G3PC16","69293.ENSGACP00000015140",4,0.437823834196891,0.667557251908397
"G3PDR7","69293.ENSGACP00000015741",1,0.294818652849741,0.246946564885496
"G3PDV0","69293.ENSGACP00000015774",2,0.537305699481865,0.435496183206107
"G3PGM9","69293.ENSGACP00000016753",25,0.780569948186529,0.386641221374046
"G3PIX9","69293.ENSGACP00000017558",10,0.190673575129534,0.474427480916031
"G3PJ29","69293.ENSGACP00000017608",26,0.673316062176166,0.0881679389312977
"G3PJH2","69293.ENSGACP00000017752",2,0.635233160621762,0.366793893129771
"G3PKP7","69293.ENSGACP00000018177",1,0.221761658031088,0.256870229007634
"G3PLE8","69293.ENSGACP00000018429",1,0.360880829015544,0.419465648854962
"G3PM61","69293.ENSGACP00000018692",1,0.332124352331606,0.317175572519084
"G3PNK3","69293.ENSGACP00000019186",27,0.780569948186529,0.0881679389312977
"G3PP08","69293.ENSGACP00000019341",2,0.552849740932642,0.479007633587786
"G3PPP6","69293.ENSGACP00000019581",1,0.109067357512953,0.200381679389313
"G3PPP7","69293.ENSGACP00000019582",28,0.119170984455959,0.597328244274809
"G3PQL2","69293.ENSGACP00000019897",1,0.252849740932643,0.380534351145038
"G3PQX4","69293.ENSGACP00000020009",2,0.668652849740933,0.533969465648855
"G3PT54","69293.ENSGACP00000020790",2,0.598704663212435,0.458396946564885
"G3PUL8","69293.ENSGACP00000021305",4,0.354663212435233,0.741603053435115
