"node","string_id","mcl_cluster","x_position","y_position"
"B0ZSJ9","69293.ENSGACP00000009457",12,NA,NA
"G3N556","69293.ENSGACP00000000426",1,0.435132075471698,0.579941618015013
"G3N577","69293.ENSGACP00000000447",3,0.651811320754717,0.344245204336947
"G3N5P1","69293.ENSGACP00000000615",1,0.556037735849057,0.661759799833194
"G3N7Z3","69293.ENSGACP00000001427",2,0.278905660377359,0.610717264386989
"G3N8J1","69293.ENSGACP00000019637",8,0.340716981132075,0.313469557964971
"G3N8X9","69293.ENSGACP00000001765",3,0.609698113207547,0.357756463719766
"G3NBA2","69293.ENSGACP00000002598",2,0.210981132075472,0.836655546288574
"G3NBG2","69293.ENSGACP00000002659",1,0.549924528301887,0.760842368640534
"G3NDE4","69293.ENSGACP00000003344",2,0.227283018867925,0.907964970809008
"G3NE33","69293.ENSGACP00000003733",8,0.437169811320755,0.297706422018349
"G3NG11","69293.ENSGACP00000004266",1,0.669471698113208,0.766847372810676
"G3NGV7","69293.ENSGACP00000004564",6,0.283660377358491,0.582944120100083
"G3NHE9","69293.ENSGACP00000004757",1,0.681698113207547,0.655004170141785
"G3NHR1","69293.ENSGACP00000004871",13,0.412037735849057,0.40279399499583
"G3NIG2","69293.ENSGACP00000005122",1,0.594754716981132,0.668515429524604
"G3NJS1","69293.ENSGACP00000005583",14,0.721094339622642,0.560425354462052
"G3NJU3","69293.ENSGACP00000005605",4,0.723811320754717,0.245913261050876
"G3NLJ0","69293.ENSGACP00000006203",1,0.689849056603774,0.716555462885738
"G3NPA2","69293.ENSGACP00000007166",2,0.321698113207547,0.904962468723937
"G3NPV3","69293.ENSGACP00000007368",15,0.316943396226415,0.4290658882402
"G3NRK0","69293.ENSGACP00000007967",1,0.53022641509434,0.691034195162636
"G3NS10","69293.ENSGACP00000008127",3,0.558075471698113,0.1918682235196
"G3NSA9","69293.ENSGACP00000008226",4,0.662,0.209132610508757
"G3NT23","69293.ENSGACP00000008491",5,0.831132075471698,0.447831526271893
"G3NTC1","69293.ENSGACP00000008589",16,0.316943396226415,0.37652210175146
"G3NTD6","69293.ENSGACP00000008604",2,0.399132075471698,0.745079232693912
"G3NU97","69293.ENSGACP00000008915",1,0.631433962264151,0.647497914929108
"G3NUA6","69293.ENSGACP00000008924",11,0.402528301886792,0.45533778148457
"G3NW14","69293.ENSGACP00000009533",10,0.183811320754717,0.643744787322769
"G3NXQ8","69293.ENSGACP00000010128",2,0.303358490566038,0.760842368640534
"G3NXT2","69293.ENSGACP00000010152",1,0.587962264150944,0.813386155129274
"G3NXX5","69293.ENSGACP00000010195",3,0.619207547169811,0.339741451209341
"G3NYB9","69293.ENSGACP00000010339",2,0.330528301886792,0.827648040033361
"G3NYX9","69293.ENSGACP00000010550",3,0.468415094339623,0.235404503753128
"G3P2D0","69293.ENSGACP00000011753",17,0.768641509433962,0.612969140950792
"G3P3G8","69293.ENSGACP00000012141",1,0.559433962264151,0.498123436196831
"G3P5V0","69293.ENSGACP00000012973",1,0.574377358490566,0.733819849874896
"G3P6S6","69293.ENSGACP00000013300",1,0.431056603773585,0.516889074228524
"G3P8Y4","69293.ENSGACP00000014058",9,0.490150943396226,0.432068390325271
"G3P920","69293.ENSGACP00000014094",5,0.739433962264151,0.408798999165972
"G3P9S4","69293.ENSGACP00000014348",2,0.242905660377359,0.655004170141785
"G3PDV0","69293.ENSGACP00000015774",1,0.532943396226415,0.718807339449541
"G3PDW9","69293.ENSGACP00000015793",1,0.64977358490566,0.803628023352794
"G3PFE7","69293.ENSGACP00000016321",18,0.768641509433962,0.770600500417014
"G3PHA5","69293.ENSGACP00000016980",1,0.509169811320755,0.583694745621351
"G3PIX9","69293.ENSGACP00000017558",11,0.340716981132075,0.465095913261051
"G3PJ10","69293.ENSGACP00000017589",1,0.623962264150943,0.784111759799833
"G3PJV6","69293.ENSGACP00000017886",1,0.497622641509434,0.469599666388657
"G3PKP7","69293.ENSGACP00000018177",2,0.287056603773585,0.889199332777315
"G3PLE8","69293.ENSGACP00000018429",2,0.384867924528302,0.701542952460384
"G3PM61","69293.ENSGACP00000018692",2,0.36788679245283,0.916221851542953
"G3PP08","69293.ENSGACP00000019341",1,0.601547169811321,0.614470391993328
"G3PP62","69293.ENSGACP00000019395",4,0.79988679245283,0.153586321934946
"G3PP78","69293.ENSGACP00000019411",1,0.639584905660377,0.509382819015847
"G3PPN8","69293.ENSGACP00000019573",2,0.269396226415094,0.821643035863219
"G3PPP6","69293.ENSGACP00000019581",10,0.0846415094339623,0.597956630525438
"G3PQL2","69293.ENSGACP00000019897",2,0.257169811320755,0.763844870725605
"G3PQX4","69293.ENSGACP00000020009",1,0.693245283018868,0.688031693077565
"G3PSB5","69293.ENSGACP00000020501",19,0.792415094339623,0.665512927439533
"G3PSB6","69293.ENSGACP00000020502",20,0.792415094339623,0.718056713928274
"G3PT54","69293.ENSGACP00000020790",1,0.650452830188679,0.714303586321935
"G3PVG3","69293.ENSGACP00000021600",5,0.786301886792453,0.377272727272727
"G3PVK4","69293.ENSGACP00000021643",4,0.697320754716981,0.0950375312760634
