queryIndex	queryItem	stringId	preferredName	annotation
1	G3N680	69293.ENSGACP00000000804	ENSGACG00000000622	annotation not available
3	G3NGT4	69293.ENSGACP00000004541	ENSGACG00000003473	Apolipoprotein C-II
4	G3NI60	69293.ENSGACP00000005020	ENSGACG00000003825	annotation not available
5	G3NNM8	69293.ENSGACP00000006942	ENSGACG00000005228	Alpha-2-macroglobulin-like 1
6	G3NNT7	69293.ENSGACP00000007001	ENSGACG00000005290	Heat shock protein family, alpha-crystallin-related, b7; Belongs to the small heat shock protein (HSP20) family
7	G3NRG5	69293.ENSGACP00000007932	ENSGACG00000005994	Neural cell adhesion molecule 3; Si:dkey-77d17.6
8	G3NX96	69293.ENSGACP00000009965	ENSGACG00000007507	annotation not available
9	G3NXW0	69293.ENSGACP00000010180	ENSGACG00000007663	ST13, Hsp70 interacting protein; Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
10	G3P1D2	69293.ENSGACP00000011405	ENSGACG00000008630	N(alpha)-acetyltransferase 10, NatA catalytic subunit
12	G3PNK3	69293.ENSGACP00000019186	ENSGACG00000014542	annotation not available
13	G3PPP6	69293.ENSGACP00000019581	ENSGACG00000014828	Lactoylglutathione lyase; Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione
14	G3PZH5	69293.ENSGACP00000023015	ENSGACG00000017417	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
15	G3Q2D6	69293.ENSGACP00000024035	ENSGACG00000018187	Ubiquinol-cytochrome c reductase, complex III subunit VII
16	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
17	G3Q3C4	69293.ENSGACP00000024376	ENSGACG00000018439	Ribosomal protein L26
18	G3Q972	69293.ENSGACP00000026436	ENSGACG00000020009	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
20	Q804E3	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
