"node","string_id","mcl_cluster","x_position","y_position"
"G3N680","69293.ENSGACP00000000804",4,0.447438524590164,0.711538461538462
"G3NGT4","69293.ENSGACP00000004541",5,0.491700819672131,0.362820512820513
"G3NI60","69293.ENSGACP00000005020",6,0.587602459016394,0.280769230769231
"G3NNM8","69293.ENSGACP00000006942",1,0.511987704918033,0.465384615384615
"G3NNT7","69293.ENSGACP00000007001",7,0.447438524590164,0.814102564102564
"G3NRG5","69293.ENSGACP00000007932",8,0.395799180327869,0.403846153846154
"G3NX96","69293.ENSGACP00000009965",1,0.381045081967213,0.519230769230769
"G3NXW0","69293.ENSGACP00000010180",9,0.491700819672131,0.26025641025641
"G3P1D2","69293.ENSGACP00000011405",10,0.594979508196721,0.834615384615385
"G3PNK3","69293.ENSGACP00000019186",11,0.609733606557377,0.383333333333333
"G3PPP6","69293.ENSGACP00000019581",12,0.366290983606557,0.198717948717949
"G3PZH5","69293.ENSGACP00000023015",2,0.604200819672131,0.567948717948718
"G3Q2D6","69293.ENSGACP00000024035",2,0.499077868852459,0.611538461538462
"G3Q2Y3","69293.ENSGACP00000024232",13,0.587602459016394,0.178205128205128
"G3Q3C4","69293.ENSGACP00000024376",3,0.627254098360656,0.691025641025641
"G3Q972","69293.ENSGACP00000026436",3,0.543340163934426,0.724358974358974
"Q804E3","69293.ENSGACP00000009457",14,0.395799180327869,0.301282051282051
