queryIndex	queryItem	stringId	preferredName	annotation
1	G3N6A9	69293.ENSGACP00000000834	ENSGACG00000000642	Filamin C, gamma b (actin binding protein 280)
2	G3N7Z3	69293.ENSGACP00000001427	ENSGACG00000001103	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
3	G3NBG2	69293.ENSGACP00000002659	ENSGACG00000002035	Ribosomal protein L8
4	G3NG36	69293.ENSGACP00000004291	ENSGACG00000003262	Small nuclear ribonucleoprotein polypeptides B and B1
5	G3NPV3	69293.ENSGACP00000007368	ENSGACG00000005555	Programmed cell death 6 interacting protein
7	G3P6S6	69293.ENSGACP00000013300	ENSGACG00000010067	Heat shock protein 90, beta (grp94), member 1
8	G3P8Y4	69293.ENSGACP00000014058	ENSGACG00000010631	Histidine triad nucleotide binding protein 1
10	G3PP62	69293.ENSGACP00000019395	ENSGACG00000014689	Uncharacterized protein; Keratin, type 1, gene 19d; Belongs to the intermediate filament family
11	G3PWE5	69293.ENSGACP00000021934	ENSGACG00000016600	Pyruvate kinase, muscle, a; Belongs to the pyruvate kinase family
12	G3Q3X8	69293.ENSGACP00000024582	ENSGACG00000018584	Talin 1
14	G3Q6T4	69293.ENSGACP00000025594	ENSGACG00000019365	Sex hormone binding globulin
18	G3QBL0	69293.ENSGACP00000027276	ENSGACG00000020621	Serine/arginine-rich splicing factor 1b
19	G3QBP3	69293.ENSGACP00000027309	ENSGACG00000020647	Acetyltransferase component of pyruvate dehydrogenase complex; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
20	G3QBU5	69293.ENSGACP00000027361	SLC25A5	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
