node	identifier	x_position	y_position	color	annotation
G3N6A9	69293.ENSGACP00000000834	0.5013846153846153	0.4902173913043478	rgb(178,171,0)	Filamin C, gamma b (actin binding protein 280)
G3N7Z3	69293.ENSGACP00000001427	0.2853846153846154	0.29945652173913045	rgb(255,0,0)	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
G3NBG2	69293.ENSGACP00000002659	0.6204615384615385	0.4951086956521739	rgb(239,117,117)	Ribosomal protein L8
G3NG36	69293.ENSGACP00000004291	0.5973846153846154	0.6173913043478262	rgb(239,159,117)	Small nuclear ribonucleoprotein polypeptides B and B1
G3NPV3	69293.ENSGACP00000007368	0.6333846153846154	0.29945652173913045	rgb(14,178,0)	Programmed cell death 6 interacting protein
G3P6S6	69293.ENSGACP00000013300	0.6453846153846154	0.776358695652174	rgb(239,201,117)	Heat shock protein 90, beta (grp94), member 1
G3P8Y4	69293.ENSGACP00000014058	0.5373846153846153	0.776358695652174	rgb(101,255,163)	Histidine triad nucleotide binding protein 1
G3PP62	69293.ENSGACP00000019395	0.5013846153846153	0.26766304347826086	rgb(101,199,255)	Uncharacterized protein; Keratin, type 1, gene 19d; Belongs to the intermediate filament family
G3PWE5	69293.ENSGACP00000021934	0.5226153846153846	0.38260869565217387	rgb(150,101,255)	Pyruvate kinase, muscle, a; Belongs to the pyruvate kinase family
G3Q3X8	69293.ENSGACP00000024582	0.42938461538461536	0.839945652173913	rgb(0,28,178)	Talin 1
G3Q6T4	69293.ENSGACP00000025594	0.6093846153846154	0.17228260869565218	rgb(0,178,157)	Sex hormone binding globulin
G3QBL0	69293.ENSGACP00000027276	0.5133846153846154	0.6491847826086957	rgb(236,239,117)	Serine/arginine-rich splicing factor 1b
G3QBP3	69293.ENSGACP00000027309	0.3924615384615385	0.30190217391304347	rgb(255,175,101)	Acetyltransferase component of pyruvate dehydrogenase complex; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
G3QBU5	69293.ENSGACP00000027361	0.7081538461538462	0.6589673913043479	rgb(187,255,101)	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
