"node","string_id","mcl_cluster","x_position","y_position"
"G3N6A9","69293.ENSGACP00000000834",4,0.501384615384615,0.490217391304348
"G3N7Z3","69293.ENSGACP00000001427",2,0.285384615384615,0.29945652173913
"G3NBG2","69293.ENSGACP00000002659",1,0.620461538461539,0.495108695652174
"G3NG36","69293.ENSGACP00000004291",3,0.597384615384615,0.617391304347826
"G3NPV3","69293.ENSGACP00000007368",5,0.633384615384615,0.29945652173913
"G3P6S6","69293.ENSGACP00000013300",6,0.645384615384615,0.776358695652174
"G3P8Y4","69293.ENSGACP00000014058",7,0.537384615384615,0.776358695652174
"G3PP62","69293.ENSGACP00000019395",8,0.501384615384615,0.267663043478261
"G3PWE5","69293.ENSGACP00000021934",1,0.522615384615385,0.382608695652174
"G3Q3X8","69293.ENSGACP00000024582",9,0.429384615384615,0.839945652173913
"G3Q6T4","69293.ENSGACP00000025594",10,0.609384615384615,0.172282608695652
"G3QBL0","69293.ENSGACP00000027276",3,0.513384615384615,0.649184782608696
"G3QBP3","69293.ENSGACP00000027309",2,0.392461538461538,0.301902173913043
"G3QBU5","69293.ENSGACP00000027361",1,0.708153846153846,0.658967391304348
