queryIndex	queryItem	stringId	preferredName	annotation
1	G3N7Z3	69293.ENSGACP00000001427	ENSGACG00000001103	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
2	G3N8X9	69293.ENSGACP00000001765	ENSGACG00000001357	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
3	G3NDE4	69293.ENSGACP00000003344	NDUFB4	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
5	G3NG11	69293.ENSGACP00000004266	ENSGACG00000003250	Ribosomal protein L24
6	G3NPA2	69293.ENSGACP00000007166	ENSGACG00000005419	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
8	G3NXT2	69293.ENSGACP00000010152	EIF3C	Eukaryotic translation initiation factor 3 subunit C; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
9	G3P5V0	69293.ENSGACP00000012973	ENSGACG00000009814	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
10	G3PCE2	69293.ENSGACP00000015266	ENSGACG00000011546	Annexin A1a
12	G3PJV6	69293.ENSGACP00000017886	HSP90AB1	Heat shock protein 90kDa alpha (cytosolic), class B member 1
13	G3PLE8	69293.ENSGACP00000018429	ATP5B	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
15	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
16	G3Q0N5	69293.ENSGACP00000023430	ENSGACG00000017708	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4; Belongs to the mitochondrial carrier (TC 2.A.29) family
17	G3Q972	69293.ENSGACP00000026436	ENSGACG00000020009	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
18	G3QBL0	69293.ENSGACP00000027276	ENSGACG00000020621	Serine/arginine-rich splicing factor 1b
19	G3QCC3	69293.ENSGACP00000027539	ENSGACG00000020830	Heterogeneous nuclear ribonucleoprotein A/Ba
20	Q804E3	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
