node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
G3NDE4	G3PQL2	69293.ENSGACP00000003344	69293.ENSGACP00000019897	0	0	0	0	0.809	0	0	0.239	0.848
G3NDE4	G3PM61	69293.ENSGACP00000003344	69293.ENSGACP00000018692	0	0	0	0	0.309	0.726	0.366	0.153	0.884
G3NDE4	G3NYB9	69293.ENSGACP00000003344	69293.ENSGACP00000010339	0	0	0	0	0.713	0	0	0.690	0.907
G3NDE4	G3NPA2	69293.ENSGACP00000003344	69293.ENSGACP00000007166	0	0	0	0	0.669	0.720	0.363	0.222	0.947
G3NDE4	G3PKP7	69293.ENSGACP00000003344	69293.ENSGACP00000018177	0	0	0	0	0.209	0.890	0.621	0.439	0.979
G3NPA2	G3PKP7	69293.ENSGACP00000007166	69293.ENSGACP00000018177	0	0	0	0	0.209	0.147	0.468	0.066	0.619
G3NPA2	G3NYB9	69293.ENSGACP00000007166	69293.ENSGACP00000010339	0	0	0	0	0.761	0	0	0.167	0.792
G3NPA2	G3PQL2	69293.ENSGACP00000007166	69293.ENSGACP00000019897	0	0	0	0	0.818	0	0	0.229	0.853
G3NPA2	G3PM61	69293.ENSGACP00000007166	69293.ENSGACP00000018692	0	0	0	0	0.721	0.726	0.520	0.624	0.984
G3NRK0	G3PQX4	69293.ENSGACP00000007967	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.269	0.998
G3NRK0	G3Q972	69293.ENSGACP00000007967	69293.ENSGACP00000026436	0.148	0	0	0	0.962	0.892	0.621	0.540	0.999
G3NUA6	G3PIX9	69293.ENSGACP00000008924	69293.ENSGACP00000017558	0	0	0	0.977	0.050	0.726	0.621	0.911	0.894
G3NYB9	G3PM61	69293.ENSGACP00000010339	69293.ENSGACP00000018692	0	0	0	0	0.444	0	0	0.323	0.607
G3NYB9	G3PKP7	69293.ENSGACP00000010339	69293.ENSGACP00000018177	0	0	0	0	0.565	0	0	0.167	0.622
G3NYB9	G3PQL2	69293.ENSGACP00000010339	69293.ENSGACP00000019897	0	0	0	0	0.850	0.883	0.621	0.610	0.997
G3PKP7	G3PM61	69293.ENSGACP00000018177	69293.ENSGACP00000018692	0	0	0	0	0.692	0.776	0.366	0.452	0.972
G3PM61	G3PQL2	69293.ENSGACP00000018692	69293.ENSGACP00000019897	0	0	0	0	0.343	0.155	0	0.089	0.450
G3PQX4	G3Q972	69293.ENSGACP00000020009	69293.ENSGACP00000026436	0	0	0	0	0.991	0.892	0.621	0.435	0.999
G3PYU1	G3Q2Y3	69293.ENSGACP00000022781	69293.ENSGACP00000024232	0	0	0	0	0.050	0	0.519	0.067	0.536
