node	identifier	x_position	y_position	color	annotation
G3N5P1	69293.ENSGACP00000000615	0.4256923076923077	0.6975247524752476	rgb(0,28,178)	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
G3N6H3	69293.ENSGACP00000000898	0.4976923076923077	0.41237623762376235	rgb(178,171,0)	Zgc:153867; Myosin, light chain 6, alkali, smooth muscle and non-muscle
G3NA14	69293.ENSGACP00000002156	0.4773846153846154	0.29356435643564355	rgb(101,255,163)	Ras suppressor protein 1
G3ND77	69293.ENSGACP00000003277	0.5733846153846155	0.19851485148514852	rgb(14,178,0)	Tensin 1
G3NDS5	69293.ENSGACP00000003475	0.5733846153846155	0.8163366336633664	rgb(255,175,101)	Cap1 CAP, adenylate cyclase-associated protein 1; Belongs to the CAP family
G3NGV7	69293.ENSGACP00000004564	0.4773846153846154	0.8163366336633664	rgb(101,199,255)	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
G3NNI9	69293.ENSGACP00000006903	0.626923076923077	0.65	rgb(255,0,0)	Collagen, type I, alpha 1a
G3NYB9	69293.ENSGACP00000010339	0.5900000000000001	0.5311881188118812	rgb(0,178,157)	annotation not available
G3P0D8	69293.ENSGACP00000011061	0.3666153846153846	0.47475247524752473	rgb(239,117,117)	Troponin I type 2a (skeletal, fast), tandem duplicate 4; Troponin I type 2 (skeletal, fast)
G3PKP7	69293.ENSGACP00000018177	0.4847692307692308	0.5816831683168318	rgb(239,207,117)	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
G3PWU7	69293.ENSGACP00000022086	0.5216923076923077	0.7004950495049506	rgb(239,162,117)	Collagen, type XI, alpha 1b
G3Q307	69293.ENSGACP00000024256	0.3813846153846154	0.8163366336633664	rgb(187,255,101)	Solute carrier family 12 (potassium/chloride transporters), member 2
G3Q9S7	69293.ENSGACP00000026643	0.3813846153846154	0.34108910891089106	rgb(150,101,255)	Creatine kinase, muscle a; Belongs to the ATP:guanido phosphotransferase family
