clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	4	G3NUU3	69293.ENSGACP00000009112	Tumor protein, translationally-controlled 1; Belongs to the TCTP family
MCL	1	Red	4	G3P5V0	69293.ENSGACP00000012973	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
MCL	1	Red	4	G3PFN1	69293.ENSGACP00000016405	Proteasome (prosome, macropain) 26S subunit, ATPase, 4; Belongs to the AAA ATPase family
MCL	1	Red	4	G3PWE5	69293.ENSGACP00000021934	Pyruvate kinase, muscle, a; Belongs to the pyruvate kinase family
MCL	2	Yellow	3	G3N508	69293.ENSGACP00000000378	Myosin light chain kinase b
MCL	2	Yellow	3	G3NXX5	69293.ENSGACP00000010195	Actin, alpha, cardiac muscle 1; Belongs to the actin family
MCL	2	Yellow	3	G3Q289	69293.ENSGACP00000023988	Gelsolin a
MCL	3	Green	2	G3N738	69293.ENSGACP00000001114	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
MCL	3	Green	2	G3NG36	69293.ENSGACP00000004291	Small nuclear ribonucleoprotein polypeptides B and B1
MCL	4	Blue	2	G3NTD6	69293.ENSGACP00000008604	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
MCL	4	Blue	2	G3QBU5	69293.ENSGACP00000027361	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
