"node","string_id","mcl_cluster","x_position","y_position"
"G3N556","69293.ENSGACP00000000426",2,0.6125,0.138757396449704
"G3N7Z3","69293.ENSGACP00000001427",1,0.523975409836066,0.870118343195266
"G3NGV7","69293.ENSGACP00000004564",3,0.540573770491803,0.577218934911243
"G3NIG2","69293.ENSGACP00000005122",2,0.488012295081967,0.21508875739645
"G3NJS1","69293.ENSGACP00000005583",4,0.593135245901639,0.408579881656805
"G3NPA2","69293.ENSGACP00000007166",1,0.347848360655738,0.793786982248521
"G3PCG6","69293.ENSGACP00000015290",2,0.56547131147541,0.275443786982249
"G3PLE8","69293.ENSGACP00000018429",1,0.45297131147541,0.694378698224852
"G3PPN8","69293.ENSGACP00000019573",1,0.358913934426229,0.598520710059172
"G3PSB6","69293.ENSGACP00000020502",5,0.435450819672131,0.374852071005917
"G3Q289","69293.ENSGACP00000023988",6,0.645696721311475,0.509763313609468
"G3QBU5","69293.ENSGACP00000027361",1,0.478790983606557,0.481360946745562
"Q804E3","69293.ENSGACP00000009457",7,0.593135245901639,0.678402366863905
