"node","string_id","mcl_cluster","x_position","y_position"
"G3NDE4","69293.ENSGACP00000003344",3,0.665692307692308,0.569838056680162
"G3NJS1","69293.ENSGACP00000005583",5,0.541076923076923,0.442307692307692
"G3NJU3","69293.ENSGACP00000005605",2,0.462615384615385,0.318421052631579
"G3NRK0","69293.ENSGACP00000007967",1,0.404461538461538,0.838259109311741
"G3NS10","69293.ENSGACP00000008127",2,0.467230769230769,0.512753036437247
"G3NUA6","69293.ENSGACP00000008924",6,0.579846153846154,0.36578947368421
"G3NXT2","69293.ENSGACP00000010152",1,0.327846153846154,0.895344129554656
"G3PP78","69293.ENSGACP00000019411",1,0.462615384615385,0.7082995951417
"G3PQL2","69293.ENSGACP00000019897",3,0.560461538461539,0.590485829959514
"G3PQX4","69293.ENSGACP00000020009",1,0.353692307692308,0.759311740890688
"G3PSB6","69293.ENSGACP00000020502",7,0.405384615384615,0.646356275303644
"G3PYU1","69293.ENSGACP00000022781",4,0.633384615384615,0.110728744939271
"G3Q393","69293.ENSGACP00000024345",4,0.575230769230769,0.194534412955466
"G3Q3A5","69293.ENSGACP00000024357",8,0.405384615384615,0.442307692307692
"G3Q3X8","69293.ENSGACP00000024582",2,0.338,0.209109311740891
"G3Q3Z6","69293.ENSGACP00000024600",9,0.657384615384615,0.442307692307692
"G3Q4Z0","69293.ENSGACP00000024944",1,0.601076923076923,0.796963562753036
"Q804E3","69293.ENSGACP00000009457",10,0.638,0.671862348178138
