clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	15	G3N5P1	69293.ENSGACP00000000615	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
MCL	1	Red	15	G3N640	69293.ENSGACP00000000764	Ribosomal protein L18a; Belongs to the eukaryotic ribosomal protein eL20 family
MCL	1	Red	15	G3N6B5	69293.ENSGACP00000000840	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
MCL	1	Red	15	G3N952	69293.ENSGACP00000001840	Eukaryotic translation elongation factor 1 delta b (guanine nucleotide exchange protein); Elongation factor-1, delta, b; Belongs to the EF-1-beta/EF-1-delta family
MCL	1	Red	15	G3NBG2	69293.ENSGACP00000002659	Ribosomal protein L8
MCL	1	Red	15	G3NBX6	69293.ENSGACP00000002824	Elongation factor 1-alpha; This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
MCL	1	Red	15	G3NDY7	69293.ENSGACP00000003538	Ribosomal protein L32
MCL	1	Red	15	G3NHE9	69293.ENSGACP00000004757	Ribosomal protein L30
MCL	1	Red	15	G3NIG2	69293.ENSGACP00000005122	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
MCL	1	Red	15	G3NRK0	69293.ENSGACP00000007967	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
MCL	1	Red	15	G3PJ10	69293.ENSGACP00000017589	Ribosomal protein L22
MCL	1	Red	15	G3PQX4	69293.ENSGACP00000020009	Ribosomal protein L31
MCL	1	Red	15	G3PUE2	69293.ENSGACP00000021229	Ribosomal protein L28
MCL	1	Red	15	G3Q297	69293.ENSGACP00000023996	Protein phosphatase 2, regulatory subunit B, alpha b
