node	identifier	x_position	y_position	color	annotation
G3N508	69293.ENSGACP00000000378	0.9130238290879211	0.6879962192816635	rgb(119,239,117)	Myosin light chain kinase b
G3N556	69293.ENSGACP00000000426	0.5003697617091208	0.5901701323251418	rgb(117,239,232)	Proteasome (prosome, macropain) subunit, alpha type,5
G3N5P1	69293.ENSGACP00000000615	0.44194741166803614	0.30775047258979205	rgb(187,255,101)	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
G3N6A9	69293.ENSGACP00000000834	0.4966721446179129	0.7381852551984878	rgb(117,239,131)	Filamin C, gamma b (actin binding protein 280)
G3N6B5	69293.ENSGACP00000000840	0.3502465078060805	0.7381852551984878	rgb(197,239,117)	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
G3N738	69293.ENSGACP00000001114	0.35986031224322107	0.5221172022684311	rgb(255,0,0)	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
G3N7Z3	69293.ENSGACP00000001427	0.6697206244864422	0.14102079395085065	rgb(117,239,185)	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
G3N8I6	69293.ENSGACP00000001621	0.7651191454396057	0.45746691871455575	rgb(239,132,117)	Uncharacterized protein; Histone H1 like
G3N8J1	69293.ENSGACP00000019637	0.7702958093672967	0.2890359168241966	rgb(117,238,239)	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
G3NBG2	69293.ENSGACP00000002659	0.44860312243221034	0.3630434782608696	rgb(181,239,117)	Ribosomal protein L8
G3NBJ8	69293.ENSGACP00000002709	0.8228019720624488	0.3945179584120983	rgb(117,144,239)	annotation not available
G3NBU5	69293.ENSGACP00000002793	0.8390714872637633	0.6395085066162571	rgb(166,239,117)	Slow myosin heavy chain 3; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
G3NCF7	69293.ENSGACP00000003007	0.4966721446179129	0.7943289224952742	rgb(239,203,117)	Caveolae associated protein 2a; Serum deprivation response a
G3NDY7	69293.ENSGACP00000003538	0.4064502875924404	0.32561436672967864	rgb(189,239,117)	Ribosomal protein L32
G3NE33	69293.ENSGACP00000003733	0.7163105998356615	0.3936672967863894	rgb(117,117,239)	annotation not available
G3NG36	69293.ENSGACP00000004291	0.2149137222678718	0.6267485822306239	rgb(117,136,239)	Small nuclear ribonucleoprotein polypeptides B and B1
G3NIG2	69293.ENSGACP00000005122	0.3288003286770748	0.3945179584120983	rgb(239,125,117)	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
G3NKB4	69293.ENSGACP00000005776	0.3006984387838948	0.2541587901701323	rgb(117,239,154)	Ribosomal protein L22
G3NLJ0	69293.ENSGACP00000006203	0.37465078060805257	0.2762759924385633	rgb(213,239,117)	Ribosomal protein L35a
G3NPV3	69293.ENSGACP00000007368	0.37465078060805257	0.7943289224952742	rgb(205,239,117)	Programmed cell death 6 interacting protein
G3NR75	69293.ENSGACP00000007842	0.44194741166803614	0.8394139886578451	rgb(142,239,117)	annotation not available
G3NS10	69293.ENSGACP00000008127	0.8390714872637633	0.5272211720226843	rgb(239,140,117)	Actin, alpha, cardiac muscle 1a; Belongs to the actin family
G3NSD2	69293.ENSGACP00000008249	0.654190632703369	0.3026465028355388	rgb(239,148,117)	ATP-citrate synthase; ATP-citrate synthase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues; In the C-terminal section; belongs to the succinate/malate CoA ligase alpha subunit family
G3NT23	69293.ENSGACP00000008491	0.6793344289235826	0.802835538752363	rgb(117,168,239)	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
G3NTD6	69293.ENSGACP00000008604	0.5543549712407561	0.3017958412098299	rgb(239,226,117)	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
G3NU97	69293.ENSGACP00000008915	0.33619556285949054	0.4438563327032136	rgb(117,207,239)	Ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family
G3NUU3	69293.ENSGACP00000009112	0.22748562037797865	0.3877126654064272	rgb(117,239,201)	Tumor protein, translationally-controlled 1; Belongs to the TCTP family
G3NW14	69293.ENSGACP00000009533	0.6408792111750206	0.09253308128544424	rgb(117,239,225)	6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH; Belongs to the 6-phosphogluconate dehydrogenase family
G3NXX5	69293.ENSGACP00000010195	0.7096548890714873	0.5978260869565218	rgb(239,156,117)	Actin, alpha, cardiac muscle 1; Belongs to the actin family
G3NY86	69293.ENSGACP00000010306	0.634963023829088	0.24650283553875235	rgb(239,234,117)	Glucose phosphate isomerase a; Belongs to the GPI family
G3NYX9	69293.ENSGACP00000010550	0.787304847986853	0.6233459357277883	rgb(239,211,117)	Lymphocyte cytosolic plastin 1
G3NZM5	69293.ENSGACP00000010798	0.26446179129005754	0.6054820415879018	rgb(14,178,0)	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)
G3P3G8	69293.ENSGACP00000012141	0.5469597370583402	0.5833648393194708	rgb(236,239,117)	T-complex 1; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
G3P3K4	69293.ENSGACP00000012177	0.40275267050123253	0.47022684310018903	rgb(117,239,123)	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform
G3P5V0	69293.ENSGACP00000012973	0.38204601479046835	0.3936672967863894	rgb(239,219,117)	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
G3P654	69293.ENSGACP00000013077	0.5314297452752671	0.8351606805293006	rgb(101,255,163)	Ubiquitin-like modifier activating enzyme 1; Belongs to the ubiquitin-activating E1 family
G3P6S6	69293.ENSGACP00000013300	0.43011503697617093	0.5680529300567108	rgb(239,164,117)	Heat shock protein 90, beta (grp94), member 1
G3P8Y4	69293.ENSGACP00000014058	0.8139276910435498	0.204820415879017	rgb(117,239,193)	Histidine triad nucleotide binding protein 1
G3PAZ5	69293.ENSGACP00000014769	0.7081758422350042	0.6965028355387524	rgb(117,239,170)	Drebrin-like b
G3PCE2	69293.ENSGACP00000015266	0.2770336894001643	0.8224007561436674	rgb(228,239,117)	Annexin A1a
G3PDH7	69293.ENSGACP00000015651	0.2770336894001643	0.204820415879017	rgb(178,171,0)	Collagen, type XII, alpha 1b
G3PFN1	69293.ENSGACP00000016405	0.5092440427280197	0.5433837429111532	rgb(117,239,209)	Proteasome (prosome, macropain) 26S subunit, ATPase, 4; Belongs to the AAA ATPase family
G3PHA5	69293.ENSGACP00000016980	0.45747740345110927	0.45236294896030244	rgb(117,160,239)	Uncharacterized protein; Eukaryotic translation elongation factor 2a, tandem duplicate 2
G3PI27	69293.ENSGACP00000017262	0.42271980279375515	0.6803402646502836	rgb(117,176,239)	annotation not available
G3PIF1	69293.ENSGACP00000017379	0.7813886606409204	0.7917769376181475	rgb(117,239,162)	Actinin, alpha 4
G3PIZ9	69293.ENSGACP00000017578	0.08179950698438784	0.6497164461247638	rgb(0,178,157)	annotation not available
G3PJ10	69293.ENSGACP00000017589	0.27629416598192275	0.28563327032136104	rgb(117,121,239)	Ribosomal protein L22
G3PJ29	69293.ENSGACP00000017608	0.7651191454396057	0.14867674858223062	rgb(101,199,255)	Rho GDP dissociation inhibitor (GDI) alpha
G3PJV6	69293.ENSGACP00000017886	0.5758011503697618	0.4872400756143667	rgb(117,215,239)	Heat shock protein 90kDa alpha (cytosolic), class B member 1
G3PLE8	69293.ENSGACP00000018429	0.5550944946589976	0.2286389413988658	rgb(117,239,178)	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
G3PP62	69293.ENSGACP00000019395	0.8627362366474939	0.14867674858223062	rgb(117,117,239)	Uncharacterized protein; Keratin, type 1, gene 19d; Belongs to the intermediate filament family
G3PP78	69293.ENSGACP00000019411	0.5484387838948234	0.44896030245746693	rgb(158,239,117)	Chaperonin containing TCP1 subunit 2; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
G3PPW2	69293.ENSGACP00000019647	0.16758422350041086	0.6837429111531191	rgb(117,239,146)	Uncharacterized protein; Serine/arginine-rich splicing factor 2b
G3PQX4	69293.ENSGACP00000020009	0.34654889071487266	0.3205103969754253	rgb(117,239,217)	Ribosomal protein L31
G3PR19	69293.ENSGACP00000020054	0.1424404272801972	0.5544423440453687	rgb(134,239,117)	annotation not available
G3PUE2	69293.ENSGACP00000021229	0.28442892358258015	0.3621928166351607	rgb(174,239,117)	Ribosomal protein L28
G3PVK4	69293.ENSGACP00000021643	0.6460558751027117	0.8649338374291116	rgb(0,28,178)	Talin 2a
G3PWE5	69293.ENSGACP00000021934	0.5203368940016434	0.1784499054820416	rgb(117,129,239)	Pyruvate kinase, muscle, a; Belongs to the pyruvate kinase family
G3PZV8	69293.ENSGACP00000023148	0.5713640098603123	0.11379962192816635	rgb(127,239,117)	Uncharacterized protein; Isocitrate dehydrogenase 3 (NAD+) alpha
G3PZX4	69293.ENSGACP00000023164	0.2822103533278554	0.6862948960302457	rgb(221,239,117)	Small nuclear ribonucleoprotein D3 polypeptide
G3Q0N5	69293.ENSGACP00000023430	0.42863599013968773	0.2090737240075614	rgb(150,239,117)	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4; Belongs to the mitochondrial carrier (TC 2.A.29) family
G3Q162	69293.ENSGACP00000023610	0.6475349219391948	0.44045368620037806	rgb(117,230,239)	Macrophage migration inhibitory factor
G3Q289	69293.ENSGACP00000023988	0.7739934264585046	0.5569943289224953	rgb(117,183,239)	Gelsolin a
G3Q2Y3	69293.ENSGACP00000024232	0.8375924404272802	0.7866729678638943	rgb(239,195,117)	Junction plakoglobin a
G3Q393	69293.ENSGACP00000024345	0.7525472473294988	0.7568998109640832	rgb(117,191,239)	Spectrin alpha 2
G3Q3X8	69293.ENSGACP00000024582	0.6564092029580938	0.9117202268431003	rgb(255,175,101)	Talin 1
G3Q4Z0	69293.ENSGACP00000024944	0.6112982744453576	0.7245746691871456	rgb(239,172,117)	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
G3Q5J2	69293.ENSGACP00000025148	0.8183648315529992	0.7237240075614367	rgb(117,199,239)	Actinin alpha 3a
G3Q6T4	69293.ENSGACP00000025594	0.8627362366474939	0.45746691871455575	rgb(239,179,117)	Sex hormone binding globulin
G3Q932	69293.ENSGACP00000026396	0.7074363188167626	0.8793950850661627	rgb(117,223,239)	Calpain 2, (m/II) large subunit b; Belongs to the peptidase C2 family
G3Q9L4	69293.ENSGACP00000026579	0.4034921939194741	0.6514177693761816	rgb(239,187,117)	Si:dkey-4p15.3; Heat shock protein 8; Belongs to the heat shock protein 70 family
G3QA72	69293.ENSGACP00000026788	0.5033278553820871	0.6565217391304349	rgb(117,239,138)	Stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)
G3QBL0	69293.ENSGACP00000027276	0.21861133935907973	0.7415879017013233	rgb(117,152,239)	Serine/arginine-rich splicing factor 1b
