node	identifier	x_position	y_position	color	annotation
G3N556	69293.ENSGACP00000000426	0.43513207547169813	0.5799416180150125	rgb(239,124,117)	Proteasome (prosome, macropain) subunit, alpha type,5
G3N577	69293.ENSGACP00000000447	0.651811320754717	0.34424520433694744	rgb(239,189,117)	annotation not available
G3N5P1	69293.ENSGACP00000000615	0.5560377358490567	0.6617597998331944	rgb(0,28,178)	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
G3N7Z3	69293.ENSGACP00000001427	0.27890566037735853	0.6107172643869891	rgb(117,117,239)	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
G3N8J1	69293.ENSGACP00000019637	0.34071698113207544	0.3134695579649708	rgb(137,239,117)	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
G3N8X9	69293.ENSGACP00000001765	0.6096981132075472	0.3577564637197665	rgb(178,171,0)	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
G3NBA2	69293.ENSGACP00000002598	0.2109811320754717	0.8366555462885739	rgb(173,239,117)	NADH dehydrogenase (ubiquinone) Fe-S protein 5
G3NBG2	69293.ENSGACP00000002659	0.5499245283018868	0.7608423686405339	rgb(117,239,235)	Ribosomal protein L8
G3NDE4	69293.ENSGACP00000003344	0.2272830188679245	0.9079649708090075	rgb(117,171,239)	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
G3NE33	69293.ENSGACP00000003733	0.4371698113207547	0.2977064220183486	rgb(101,255,163)	annotation not available
G3NG11	69293.ENSGACP00000004266	0.6694716981132076	0.7668473728106756	rgb(117,239,133)	Ribosomal protein L24
G3NGV7	69293.ENSGACP00000004564	0.2836603773584906	0.5829441201000835	rgb(239,182,117)	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
G3NHE9	69293.ENSGACP00000004757	0.6816981132075471	0.6550041701417849	rgb(117,239,184)	Ribosomal protein L30
G3NHR1	69293.ENSGACP00000004871	0.4120377358490566	0.40279399499582985	rgb(151,239,117)	Hyaluronan binding protein 2
G3NIG2	69293.ENSGACP00000005122	0.5947547169811321	0.6685154295246039	rgb(217,239,117)	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
G3NJS1	69293.ENSGACP00000005583	0.7210943396226416	0.5604253544620518	rgb(255,0,0)	annotation not available
G3NJU3	69293.ENSGACP00000005605	0.7238113207547171	0.24591326105087574	rgb(239,146,117)	Myosin, light chain 12, genome duplicate 1
G3NLJ0	69293.ENSGACP00000006203	0.6898490566037737	0.7165554628857381	rgb(117,236,239)	Ribosomal protein L35a
G3NPA2	69293.ENSGACP00000007166	0.32169811320754715	0.9049624687239366	rgb(144,239,117)	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
G3NPV3	69293.ENSGACP00000007368	0.3169433962264151	0.42906588824020014	rgb(117,239,206)	Programmed cell death 6 interacting protein
