queryIndex	queryItem	stringId	preferredName	annotation
1	B0ZSJ9	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
3	G3N556	69293.ENSGACP00000000426	ENSGACG00000000332	Proteasome (prosome, macropain) subunit, alpha type,5
4	G3N577	69293.ENSGACP00000000447	ENSGACG00000000352	annotation not available
6	G3N5P1	69293.ENSGACP00000000615	ENSGACG00000000474	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
7	G3N7Z3	69293.ENSGACP00000001427	ENSGACG00000001103	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
8	G3N8J1	69293.ENSGACP00000019637	ENSGACG00000014877	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
9	G3N8X9	69293.ENSGACP00000001765	ENSGACG00000001357	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
10	G3NBA2	69293.ENSGACP00000002598	ENSGACG00000002002	NADH dehydrogenase (ubiquinone) Fe-S protein 5
11	G3NBG2	69293.ENSGACP00000002659	ENSGACG00000002035	Ribosomal protein L8
12	G3NDE4	69293.ENSGACP00000003344	NDUFB4	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
13	G3NE33	69293.ENSGACP00000003733	ENSGACG00000002850	annotation not available
15	G3NG11	69293.ENSGACP00000004266	ENSGACG00000003250	Ribosomal protein L24
16	G3NGV7	69293.ENSGACP00000004564	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
17	G3NHE9	69293.ENSGACP00000004757	ENSGACG00000003628	Ribosomal protein L30
18	G3NHR1	69293.ENSGACP00000004871	ENSGACG00000003705	Hyaluronan binding protein 2
19	G3NIG2	69293.ENSGACP00000005122	ENSGACG00000003895	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
20	G3NJS1	69293.ENSGACP00000005583	ENSGACG00000004236	annotation not available
21	G3NJU3	69293.ENSGACP00000005605	ENSGACG00000004252	Myosin, light chain 12, genome duplicate 1
22	G3NLJ0	69293.ENSGACP00000006203	ENSGACG00000004699	Ribosomal protein L35a
24	G3NPA2	69293.ENSGACP00000007166	ENSGACG00000005419	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
25	G3NPV3	69293.ENSGACP00000007368	ENSGACG00000005555	Programmed cell death 6 interacting protein
26	G3NRK0	69293.ENSGACP00000007967	RPSA	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
27	G3NS10	69293.ENSGACP00000008127	ENSGACG00000006109	Actin, alpha, cardiac muscle 1a; Belongs to the actin family
28	G3NSA9	69293.ENSGACP00000008226	LMOD1	Leiomodin 1 (smooth muscle)
29	G3NT23	69293.ENSGACP00000008491	ENSGACG00000006417	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
30	G3NTC1	69293.ENSGACP00000008589	ENSGACG00000006428	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1b
31	G3NTD6	69293.ENSGACP00000008604	ENSGACG00000006418	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
32	G3NU97	69293.ENSGACP00000008915	ENSGACG00000006703	Ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family
33	G3NUA6	69293.ENSGACP00000008924	ENSGACG00000006721	ER lipid raft associated 1
34	G3NW14	69293.ENSGACP00000009533	ENSGACG00000007164	6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH; Belongs to the 6-phosphogluconate dehydrogenase family
