clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	17	G3NBA2	69293.ENSGACP00000002598	NADH dehydrogenase (ubiquinone) Fe-S protein 5
MCL	1	Red	17	G3NDE4	69293.ENSGACP00000003344	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
MCL	1	Red	17	G3NPA2	69293.ENSGACP00000007166	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
MCL	1	Red	17	G3NW63	69293.ENSGACP00000009582	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
MCL	1	Red	17	G3NYB9	69293.ENSGACP00000010339	annotation not available
MCL	1	Red	17	G3P846	69293.ENSGACP00000013770	Translocase of inner mitochondrial membrane 13 homolog (yeast); Belongs to the small Tim family
MCL	1	Red	17	G3P8F3	69293.ENSGACP00000013877	Cytochrome c oxidase subunit; This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport
MCL	1	Red	17	G3PDR7	69293.ENSGACP00000015741	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10
MCL	1	Red	17	G3PKP7	69293.ENSGACP00000018177	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
MCL	1	Red	17	G3PLE8	69293.ENSGACP00000018429	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
MCL	1	Red	17	G3PM61	69293.ENSGACP00000018692	Cytochrome b-c1 complex subunit Rieske, mitochondrial; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
MCL	1	Red	17	G3PPP6	69293.ENSGACP00000019581	Lactoylglutathione lyase; Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione
MCL	1	Red	17	G3PQL2	69293.ENSGACP00000019897	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
MCL	1	Red	17	G3PZH5	69293.ENSGACP00000023015	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
MCL	1	Red	17	G3Q2D6	69293.ENSGACP00000024035	Ubiquinol-cytochrome c reductase, complex III subunit VII
MCL	1	Red	17	G3Q486	69293.ENSGACP00000024690	ATP synthase subunit d, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the cent [...] 
MCL	1	Red	17	G3Q6T4	69293.ENSGACP00000025594	Sex hormone binding globulin
MCL	2	Brown	17	G3NBM8	69293.ENSGACP00000002722	Ribosomal protein L36; Belongs to the eukaryotic ribosomal protein eL36 family
MCL	2	Brown	17	G3NFC1	69293.ENSGACP00000004023	Calreticulin
MCL	2	Brown	17	G3NFG6	69293.ENSGACP00000004068	Ribosomal protein L21
MCL	2	Brown	17	G3NIW2	69293.ENSGACP00000005272	Putative breast adenocarcinoma marker; Belongs to the SNF7 family
MCL	2	Brown	17	G3NRK0	69293.ENSGACP00000007967	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
MCL	2	Brown	17	G3NU97	69293.ENSGACP00000008915	Ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family
MCL	2	Brown	17	G3NUM7	69293.ENSGACP00000009045	Ribosomal protein S25
MCL	2	Brown	17	G3P5V0	69293.ENSGACP00000012973	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
MCL	2	Brown	17	G3PDV0	69293.ENSGACP00000015774	Ribosomal protein S2; Belongs to the universal ribosomal protein uS5 family
MCL	2	Brown	17	G3PJH2	69293.ENSGACP00000017752	Ribosomal protein L17; Chromosome 18 open reading frame 32; Belongs to the universal ribosomal protein uL22 family
MCL	2	Brown	17	G3PP08	69293.ENSGACP00000019341	Ribosomal protein L27; Belongs to the eukaryotic ribosomal protein eL27 family
MCL	2	Brown	17	G3PQX4	69293.ENSGACP00000020009	Ribosomal protein L31
MCL	2	Brown	17	G3PT54	69293.ENSGACP00000020790	Ribosomal protein L13; Belongs to the eukaryotic ribosomal protein eL13 family
MCL	2	Brown	17	G3Q163	69293.ENSGACP00000023611	Ribosomal protein S6; Belongs to the eukaryotic ribosomal protein eS6 family
MCL	2	Brown	17	G3Q3C4	69293.ENSGACP00000024376	Ribosomal protein L26
MCL	2	Brown	17	G3Q659	69293.ENSGACP00000025366	Ribosomal protein S15a; Belongs to the universal ribosomal protein uS8 family
MCL	2	Brown	17	G3Q972	69293.ENSGACP00000026436	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
MCL	3	Dark Golden Rod	7	G3N577	69293.ENSGACP00000000447	annotation not available
MCL	3	Dark Golden Rod	7	G3N8Q3	69293.ENSGACP00000001689	Tropomyosin 3; Belongs to the tropomyosin family
MCL	3	Dark Golden Rod	7	G3N8X9	69293.ENSGACP00000001765	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
MCL	3	Dark Golden Rod	7	G3NJU3	69293.ENSGACP00000005605	Myosin, light chain 12, genome duplicate 1
MCL	3	Dark Golden Rod	7	G3P920	69293.ENSGACP00000014094	annotation not available
MCL	3	Dark Golden Rod	7	G3PYA1	69293.ENSGACP00000022591	annotation not available
