node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
G3N508	G3NXX5	69293.ENSGACP00000000378	69293.ENSGACP00000010195	0	0	0	0	0.055	0.209	0.292	0.110	0.465
G3N738	G3NUU3	69293.ENSGACP00000001114	69293.ENSGACP00000009112	0	0	0	0	0.246	0	0	0.241	0.403
G3N738	G3NG36	69293.ENSGACP00000001114	69293.ENSGACP00000004291	0	0	0	0	0.053	0.295	0.243	0.063	0.463
G3N738	G3QBU5	69293.ENSGACP00000001114	69293.ENSGACP00000027361	0	0	0	0	0.147	0.136	0.578	0.151	0.700
G3NTD6	G3P5V0	69293.ENSGACP00000008604	69293.ENSGACP00000012973	0.194	0	0	0	0.475	0	0	0.200	0.631
G3NTD6	G3QBU5	69293.ENSGACP00000008604	69293.ENSGACP00000027361	0	0	0	0	0.591	0.109	0.309	0.271	0.791
G3NUU3	G3P5V0	69293.ENSGACP00000009112	69293.ENSGACP00000012973	0	0	0	0	0.837	0	0	0.273	0.876
G3NXX5	G3Q289	69293.ENSGACP00000010195	69293.ENSGACP00000023988	0	0	0	0	0.054	0.703	0.190	0.334	0.828
G3P5V0	G3PWE5	69293.ENSGACP00000012973	69293.ENSGACP00000021934	0	0	0	0	0.054	0.338	0.200	0.068	0.470
G3P5V0	G3PFN1	69293.ENSGACP00000012973	69293.ENSGACP00000016405	0	0	0	0	0.817	0	0	0	0.817
