node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
G3N577	G3PYA1	69293.ENSGACP00000000447	69293.ENSGACP00000022591	0	0	0	0	0.060	0.334	0.199	0.133	0.507
G3N577	G3PXF9	69293.ENSGACP00000000447	69293.ENSGACP00000022298	0	0	0	0	0.120	0.353	0.157	0.124	0.523
G3N577	G3N8Q3	69293.ENSGACP00000000447	69293.ENSGACP00000001689	0	0	0	0	0.120	0.353	0.157	0.124	0.523
G3N577	G3PVK9	69293.ENSGACP00000000447	69293.ENSGACP00000021648	0	0	0	0	0.120	0.353	0.157	0.124	0.523
G3N577	G3P920	69293.ENSGACP00000000447	69293.ENSGACP00000014094	0	0	0	0	0.048	0.417	0.101	0.276	0.590
G3N577	G3NZN3	69293.ENSGACP00000000447	69293.ENSGACP00000010806	0	0	0	0	0.060	0.334	0.365	0.152	0.617
G3N577	G3PZK8	69293.ENSGACP00000000447	69293.ENSGACP00000023048	0	0	0	0	0.052	0.315	0.365	0.213	0.632
G3N577	G3NJU3	69293.ENSGACP00000000447	69293.ENSGACP00000005605	0	0	0	0	0.060	0.334	0.365	0.232	0.653
G3N8Q3	G3PYA1	69293.ENSGACP00000001689	69293.ENSGACP00000022591	0	0	0	0	0.170	0.143	0.225	0.167	0.479
G3N8Q3	G3N8X9	69293.ENSGACP00000001689	69293.ENSGACP00000001765	0	0	0	0	0.120	0.353	0.157	0.124	0.523
G3N8Q3	G3NZN3	69293.ENSGACP00000001689	69293.ENSGACP00000010806	0	0	0	0	0.170	0.143	0.293	0.211	0.550
G3N8Q3	G3NJU3	69293.ENSGACP00000001689	69293.ENSGACP00000005605	0	0	0	0	0.170	0.143	0.364	0.211	0.595
G3N8Q3	G3PXF9	69293.ENSGACP00000001689	69293.ENSGACP00000022298	0	0	0	0.981	0	0.710	0	0	0.710
G3N8Q3	G3PVK9	69293.ENSGACP00000001689	69293.ENSGACP00000021648	0	0	0.448	0.982	0	0.710	0	0	0.712
G3N8X9	G3PYA1	69293.ENSGACP00000001765	69293.ENSGACP00000022591	0	0	0	0	0.060	0.334	0.199	0.133	0.507
G3N8X9	G3PXF9	69293.ENSGACP00000001765	69293.ENSGACP00000022298	0	0	0	0	0.120	0.353	0.157	0.124	0.523
G3N8X9	G3PVK9	69293.ENSGACP00000001765	69293.ENSGACP00000021648	0	0	0	0	0.120	0.353	0.157	0.124	0.523
G3N8X9	G3P920	69293.ENSGACP00000001765	69293.ENSGACP00000014094	0	0	0	0	0.048	0.417	0.101	0.276	0.590
G3N8X9	G3NZN3	69293.ENSGACP00000001765	69293.ENSGACP00000010806	0	0	0	0	0.060	0.334	0.369	0.152	0.620
G3N8X9	G3PZK8	69293.ENSGACP00000001765	69293.ENSGACP00000023048	0	0	0	0	0.052	0.315	0.373	0.213	0.636
G3N8X9	G3NJU3	69293.ENSGACP00000001765	69293.ENSGACP00000005605	0	0	0	0	0.060	0.334	0.366	0.384	0.722
G3NBA2	G3PQL2	69293.ENSGACP00000002598	69293.ENSGACP00000019897	0	0	0	0	0.653	0	0	0.229	0.721
G3NBA2	G3NYB9	69293.ENSGACP00000002598	69293.ENSGACP00000010339	0	0	0	0	0.688	0	0	0.384	0.799
