queryIndex	queryItem	stringId	preferredName	annotation
2	G3NDE4	69293.ENSGACP00000003344	NDUFB4	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
3	G3NJS1	69293.ENSGACP00000005583	ENSGACG00000004236	annotation not available
4	G3NJU3	69293.ENSGACP00000005605	ENSGACG00000004252	Myosin, light chain 12, genome duplicate 1
5	G3NRK0	69293.ENSGACP00000007967	RPSA	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
6	G3NS10	69293.ENSGACP00000008127	ENSGACG00000006109	Actin, alpha, cardiac muscle 1a; Belongs to the actin family
7	G3NUA6	69293.ENSGACP00000008924	ENSGACG00000006721	ER lipid raft associated 1
8	G3NXT2	69293.ENSGACP00000010152	EIF3C	Eukaryotic translation initiation factor 3 subunit C; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
10	G3PP78	69293.ENSGACP00000019411	CCT2	Chaperonin containing TCP1 subunit 2; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
11	G3PQL2	69293.ENSGACP00000019897	ENSGACG00000015085	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
12	G3PQX4	69293.ENSGACP00000020009	ENSGACG00000015169	Ribosomal protein L31
13	G3PSB6	69293.ENSGACP00000020502	ENSGACG00000015545	Hyaluronan and proteoglycan link protein 1b
14	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
15	G3Q393	69293.ENSGACP00000024345	ENSGACG00000018404	Spectrin alpha 2
16	G3Q3A5	69293.ENSGACP00000024357	ENSGACG00000018427	SET translocation (myeloid leukemia-associated) B; Belongs to the nucleosome assembly protein (NAP) family
17	G3Q3X8	69293.ENSGACP00000024582	ENSGACG00000018584	Talin 1
18	G3Q3Z6	69293.ENSGACP00000024600	ENSGACG00000018609	Clathrin light chain; Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
19	G3Q4Z0	69293.ENSGACP00000024944	ENSGACG00000018863	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
20	Q804E3	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
