"node1","node2","string_id1","string_id2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"G3NDE4","G3PQL2","69293.ENSGACP00000003344","69293.ENSGACP00000019897",0,0,0,0,0.809,0,0,0.239,0.848
"G3NJU3","G3Q393","69293.ENSGACP00000005605","69293.ENSGACP00000024345",0,0,0,0,0,0.306,0,0.219,0.434
"G3NJU3","G3NS10","69293.ENSGACP00000005605","69293.ENSGACP00000008127",0,0,0,0,0.06,0.334,0.123,0.11,0.445
"G3NJU3","G3Q3X8","69293.ENSGACP00000005605","69293.ENSGACP00000024582",0,0,0,0,0.055,0,0.416,0.139,0.483
"G3NRK0","G3PP78","69293.ENSGACP00000007967","69293.ENSGACP00000019411",0,0,0,0,0.691,0,0,0.128,0.719
"G3NRK0","G3NXT2","69293.ENSGACP00000007967","69293.ENSGACP00000010152",0,0,0,0,0.211,0.601,0.621,0.218,0.894
"G3NRK0","G3PQX4","69293.ENSGACP00000007967","69293.ENSGACP00000020009",0,0,0,0,0.962,0.892,0.621,0.269,0.998
"G3NS10","G3PP78","69293.ENSGACP00000008127","69293.ENSGACP00000019411",0,0,0,0,0.054,0.265,0.205,0.175,0.482
"G3NXT2","G3PQX4","69293.ENSGACP00000010152","69293.ENSGACP00000020009",0,0,0,0,0.181,0,0.621,0,0.676
"G3PP78","G3Q4Z0","69293.ENSGACP00000019411","69293.ENSGACP00000024944",0,0,0,0,0.054,0.132,0.365,0,0.433
"G3PP78","G3PQX4","69293.ENSGACP00000019411","69293.ENSGACP00000020009",0,0,0,0,0.611,0,0,0.287,0.71
"G3PYU1","G3Q393","69293.ENSGACP00000022781","69293.ENSGACP00000024345",0,0,0,0,0.05,0,0.621,0.042,0.624
