node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
G3N517	G3NNI9	69293.ENSGACP00000000387	69293.ENSGACP00000006903	0	0	0	0	0.056	0	0	0.419	0.428
G3N517	G3NYX9	69293.ENSGACP00000000387	69293.ENSGACP00000010550	0	0	0	0	0.054	0.335	0.053	0.174	0.442
G3N517	G3NJR4	69293.ENSGACP00000000387	69293.ENSGACP00000005576	0	0	0	0	0.096	0.281	0.115	0.150	0.445
G3N517	G3NBX6	69293.ENSGACP00000000387	69293.ENSGACP00000002824	0	0	0	0	0.182	0.275	0.050	0.191	0.483
G3N517	G3N6H3	69293.ENSGACP00000000387	69293.ENSGACP00000000898	0	0	0	0	0.068	0.285	0.520	0.092	0.670
G3N517	G3NDS5	69293.ENSGACP00000000387	69293.ENSGACP00000003475	0	0	0	0	0.108	0.653	0.158	0.234	0.773
G3N5P1	G3N952	69293.ENSGACP00000000615	69293.ENSGACP00000001840	0	0	0	0	0.579	0	0	0.289	0.687
G3N5P1	G3NBX6	69293.ENSGACP00000000615	69293.ENSGACP00000002824	0	0	0.370	0	0.469	0.726	0.264	0.065	0.925
G3N5P1	G3PJ10	69293.ENSGACP00000000615	69293.ENSGACP00000017589	0	0	0	0	0.808	0.870	0.505	0.225	0.989
G3N5P1	G3NDY7	69293.ENSGACP00000000615	69293.ENSGACP00000003538	0.287	0	0	0	0.989	0.892	0.621	0.539	0.999
G3N5P1	G3NBG2	69293.ENSGACP00000000615	69293.ENSGACP00000002659	0.201	0	0.295	0	0.992	0.892	0.621	0.387	0.999
G3N5P1	G3PQX4	69293.ENSGACP00000000615	69293.ENSGACP00000020009	0	0	0	0	0.991	0.892	0.621	0.538	0.999
G3N5P1	G3N640	69293.ENSGACP00000000615	69293.ENSGACP00000000764	0	0	0	0	0.992	0.892	0.621	0.272	0.999
G3N5P1	G3PUE2	69293.ENSGACP00000000615	69293.ENSGACP00000021229	0	0	0	0	0.992	0.884	0.621	0.159	0.999
G3N5P1	G3QCM9	69293.ENSGACP00000000615	69293.ENSGACP00000027645	0.201	0	0.356	0	0.992	0.977	0.621	0.498	0.999
G3N5P1	G3NIG2	69293.ENSGACP00000000615	69293.ENSGACP00000005122	0.201	0	0.265	0	0.992	0.892	0.621	0.444	0.999
G3N5P1	G3NHE9	69293.ENSGACP00000000615	69293.ENSGACP00000004757	0	0	0	0	0.992	0.892	0.621	0.441	0.999
G3N5P1	G3NRK0	69293.ENSGACP00000000615	69293.ENSGACP00000007967	0.199	0	0	0	0.962	0.892	0.621	0.358	0.999
G3N640	G3N952	69293.ENSGACP00000000764	69293.ENSGACP00000001840	0	0	0	0	0.595	0	0	0.206	0.664
G3N640	G3NXQ8	69293.ENSGACP00000000764	69293.ENSGACP00000010128	0	0	0	0	0.567	0	0	0.315	0.690
G3N640	G3NBX6	69293.ENSGACP00000000764	69293.ENSGACP00000002824	0	0	0	0	0.563	0.703	0.264	0.050	0.897
G3N640	G3PJ10	69293.ENSGACP00000000764	69293.ENSGACP00000017589	0	0	0	0	0.691	0.870	0.507	0.203	0.982
G3N640	G3NDY7	69293.ENSGACP00000000764	69293.ENSGACP00000003538	0	0	0	0	0.962	0.892	0.621	0.516	0.999
G3N640	G3NBG2	69293.ENSGACP00000000764	69293.ENSGACP00000002659	0	0	0	0	0.992	0.892	0.621	0.132	0.999
G3N640	G3PQX4	69293.ENSGACP00000000764	69293.ENSGACP00000020009	0.287	0	0	0	0.991	0.892	0.621	0.688	0.999
G3N640	G3PUE2	69293.ENSGACP00000000764	69293.ENSGACP00000021229	0	0	0	0	0.992	0.820	0.621	0.303	0.999
G3N640	G3QCM9	69293.ENSGACP00000000764	69293.ENSGACP00000027645	0	0	0	0	0.992	0.892	0.621	0.110	0.999
G3N640	G3NIG2	69293.ENSGACP00000000764	69293.ENSGACP00000005122	0	0	0	0	0.990	0.892	0.621	0.395	0.999
