node	identifier	x_position	y_position	color	annotation
G3NDE4	69293.ENSGACP00000003344	0.4769467213114754	0.5177966101694915	rgb(154,239,117)	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
G3NPA2	69293.ENSGACP00000007166	0.4133196721311475	0.4440677966101695	rgb(14,178,0)	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
G3NRK0	69293.ENSGACP00000007967	0.5839139344262295	0.8355932203389831	rgb(239,151,117)	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
G3NUA6	69293.ENSGACP00000008924	0.6604508196721313	0.1771186440677966	rgb(239,220,117)	ER lipid raft associated 1
G3NYB9	69293.ENSGACP00000010339	0.3755122950819672	0.30677966101694915	rgb(150,101,255)	annotation not available
G3P920	69293.ENSGACP00000014094	0.39948770491803276	0.7872881355932204	rgb(255,175,101)	annotation not available
G3PIX9	69293.ENSGACP00000017558	0.5765368852459017	0.21016949152542375	rgb(255,0,0)	ER lipid raft associated 2
G3PKP7	69293.ENSGACP00000018177	0.4354508196721312	0.6576271186440679	rgb(239,117,117)	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
G3PM61	69293.ENSGACP00000018692	0.46956967213114753	0.29915254237288136	rgb(223,239,117)	Cytochrome b-c1 complex subunit Rieske, mitochondrial; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
G3PQL2	69293.ENSGACP00000019897	0.33309426229508193	0.48474576271186437	rgb(101,255,163)	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
G3PQX4	69293.ENSGACP00000020009	0.49907786885245903	0.8355932203389831	rgb(189,239,117)	Ribosomal protein L31
G3PSB5	69293.ENSGACP00000020501	0.4548155737704918	0.1771186440677966	rgb(187,255,101)	annotation not available
G3PYU1	69293.ENSGACP00000022781	0.6604508196721313	0.32966101694915256	rgb(0,178,157)	Cathepsin D; Belongs to the peptidase A1 family
G3Q2Y3	69293.ENSGACP00000024232	0.5765368852459017	0.36271186440677966	rgb(178,171,0)	Junction plakoglobin a
G3Q3A5	69293.ENSGACP00000024357	0.5765368852459017	0.4822033898305085	rgb(239,186,117)	SET translocation (myeloid leukemia-associated) B; Belongs to the nucleosome assembly protein (NAP) family
G3Q972	69293.ENSGACP00000026436	0.5424180327868853	0.6347457627118644	rgb(101,199,255)	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
G3QAJ2	69293.ENSGACP00000026908	0.33309426229508193	0.6652542372881357	rgb(0,28,178)	Transgelin 2; Belongs to the calponin family
