node	identifier	x_position	y_position	color	annotation
G3N517	69293.ENSGACP00000000387	0.3735955056179775	0.6528436018957346	rgb(239,155,117)	annotation not available
G3N5P1	69293.ENSGACP00000000615	0.5996067415730338	0.5547393364928911	rgb(117,127,239)	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
G3N640	69293.ENSGACP00000000764	0.5915168539325844	0.445260663507109	rgb(207,239,117)	Ribosomal protein L18a; Belongs to the eukaryotic ribosomal protein eL20 family
G3N6B5	69293.ENSGACP00000000840	0.4544943820224719	0.3656398104265403	rgb(117,239,150)	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
G3N6B7	69293.ENSGACP00000000842	0.5222471910112361	0.4139810426540284	rgb(238,239,117)	Aminopeptidase puromycin sensitive
G3N6H3	69293.ENSGACP00000000898	0.36651685393258426	0.5824644549763034	rgb(117,239,173)	Zgc:153867; Myosin, light chain 6, alkali, smooth muscle and non-muscle
G3N8I6	69293.ENSGACP00000001621	0.488876404494382	0.6016587677725119	rgb(199,239,117)	Uncharacterized protein; Histone H1 like
G3N952	69293.ENSGACP00000001840	0.5182022471910113	0.5440758293838863	rgb(117,239,228)	Eukaryotic translation elongation factor 1 delta b (guanine nucleotide exchange protein); Elongation factor-1, delta, b; Belongs to the EF-1-beta/EF-1-delta family
G3NA14	69293.ENSGACP00000002156	0.4555056179775281	0.5547393364928911	rgb(222,239,117)	Ras suppressor protein 1
G3NB07	69293.ENSGACP00000002503	0.2441573033707865	0.6450236966824645	rgb(239,225,117)	Drebrin-like a
G3NB21	69293.ENSGACP00000002517	0.533876404494382	0.1061611374407583	rgb(215,239,117)	Zgc:86599; Cytochrome c oxidase subunit Vb
G3NBG2	69293.ENSGACP00000002659	0.6076966292134832	0.5	rgb(150,101,255)	Ribosomal protein L8
G3NBX6	69293.ENSGACP00000002824	0.5237640449438203	0.6571090047393365	rgb(145,239,117)	Elongation factor 1-alpha; This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
G3ND77	69293.ENSGACP00000003277	0.4555056179775281	0.5078199052132701	rgb(117,189,239)	Tensin 1
G3NDS5	69293.ENSGACP00000003475	0.26337078651685397	0.7004739336492891	rgb(117,135,239)	Cap1 CAP, adenylate cyclase-associated protein 1; Belongs to the CAP family
G3NDY7	69293.ENSGACP00000003538	0.6314606741573034	0.48933649289099523	rgb(0,28,178)	Ribosomal protein L32
G3NE33	69293.ENSGACP00000003733	0.5222471910112361	0.36706161137440757	rgb(192,239,117)	annotation not available
G3NGV7	69293.ENSGACP00000004564	0.775056179775281	0.8497630331753555	rgb(168,239,117)	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
G3NHE9	69293.ENSGACP00000004757	0.5657303370786517	0.49146919431279623	rgb(187,255,101)	Ribosomal protein L30
