queryIndex	queryItem	stringId	preferredName	annotation
2	G3N517	69293.ENSGACP00000000387	ENSGACG00000000303	annotation not available
3	G3N5P1	69293.ENSGACP00000000615	ENSGACG00000000474	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
4	G3N640	69293.ENSGACP00000000764	ENSGACG00000000590	Ribosomal protein L18a; Belongs to the eukaryotic ribosomal protein eL20 family
5	G3N6B5	69293.ENSGACP00000000840	ENSGACG00000000651	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
6	G3N6B7	69293.ENSGACP00000000842	ENSGACG00000000645	Aminopeptidase puromycin sensitive
7	G3N6H3	69293.ENSGACP00000000898	ENSGACG00000000696	Zgc:153867; Myosin, light chain 6, alkali, smooth muscle and non-muscle
9	G3N8I6	69293.ENSGACP00000001621	ENSGACG00000001249	Uncharacterized protein; Histone H1 like
10	G3N952	69293.ENSGACP00000001840	ENSGACG00000001421	Eukaryotic translation elongation factor 1 delta b (guanine nucleotide exchange protein); Elongation factor-1, delta, b; Belongs to the EF-1-beta/EF-1-delta family
11	G3NA14	69293.ENSGACP00000002156	ENSGACG00000001652	Ras suppressor protein 1
12	G3NB07	69293.ENSGACP00000002503	ENSGACG00000001920	Drebrin-like a
13	G3NB21	69293.ENSGACP00000002517	ENSGACG00000001933	Zgc:86599; Cytochrome c oxidase subunit Vb
15	G3NBG2	69293.ENSGACP00000002659	ENSGACG00000002035	Ribosomal protein L8
16	G3NBX6	69293.ENSGACP00000002824	ENSGACG00000002143	Elongation factor 1-alpha; This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
18	G3ND77	69293.ENSGACP00000003277	ENSGACG00000002511	Tensin 1
19	G3NDS5	69293.ENSGACP00000003475	ENSGACG00000002653	Cap1 CAP, adenylate cyclase-associated protein 1; Belongs to the CAP family
20	G3NDY7	69293.ENSGACP00000003538	ENSGACG00000002699	Ribosomal protein L32
21	G3NE33	69293.ENSGACP00000003733	ENSGACG00000002850	annotation not available
24	G3NGV7	69293.ENSGACP00000004564	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
25	G3NHE9	69293.ENSGACP00000004757	ENSGACG00000003628	Ribosomal protein L30
26	G3NIG2	69293.ENSGACP00000005122	ENSGACG00000003895	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
28	G3NJR4	69293.ENSGACP00000005576	ENSGACG00000004229	Troponin I4b, tandem duplicate 2; Troponin I, skeletal, slow like
29	G3NK83	69293.ENSGACP00000005745	ENSGACG00000004338	Peptidylprolyl isomerase; FK506 binding protein 1Ab
30	G3NL81	69293.ENSGACP00000006094	ENSGACG00000004614	NADH dehydrogenase (ubiquinone) Fe-S protein 4, (NADH-coenzyme Q reductase)
31	G3NNI9	69293.ENSGACP00000006903	ENSGACG00000005143	Collagen, type I, alpha 1a
33	G3NPV3	69293.ENSGACP00000007368	ENSGACG00000005555	Programmed cell death 6 interacting protein
34	G3NR25	69293.ENSGACP00000007791	ENSGACG00000005883	annotation not available
