queryIndex	queryItem	stringId	preferredName	annotation
1	G3N577	69293.ENSGACP00000000447	ENSGACG00000000352	annotation not available
2	G3N680	69293.ENSGACP00000000804	ENSGACG00000000622	annotation not available
4	G3N8J1	69293.ENSGACP00000019637	ENSGACG00000014877	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
5	G3N8Q3	69293.ENSGACP00000001689	ENSGACG00000001296	Tropomyosin 3; Belongs to the tropomyosin family
6	G3N8X9	69293.ENSGACP00000001765	ENSGACG00000001357	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
8	G3NA14	69293.ENSGACP00000002156	ENSGACG00000001652	Ras suppressor protein 1
9	G3NBA2	69293.ENSGACP00000002598	ENSGACG00000002002	NADH dehydrogenase (ubiquinone) Fe-S protein 5
10	G3NBM8	69293.ENSGACP00000002722	ENSGACG00000002088	Ribosomal protein L36; Belongs to the eukaryotic ribosomal protein eL36 family
12	G3NDE4	69293.ENSGACP00000003344	NDUFB4	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
13	G3NEJ2	69293.ENSGACP00000003743	ENSGACG00000002856	LIM domain binding 3b
14	G3NFC1	69293.ENSGACP00000004023	ENSGACG00000003052	Calreticulin
15	G3NFG6	69293.ENSGACP00000004068	ENSGACG00000003110	Ribosomal protein L21
16	G3NGD3	69293.ENSGACP00000004389	ENSGACG00000003348	Uncharacterized protein; Spondin 1b
17	G3NGT4	69293.ENSGACP00000004541	ENSGACG00000003473	Apolipoprotein C-II
19	G3NI60	69293.ENSGACP00000005020	ENSGACG00000003825	annotation not available
20	G3NIW2	69293.ENSGACP00000005272	ENSGACG00000003993	Putative breast adenocarcinoma marker; Belongs to the SNF7 family
22	G3NJS1	69293.ENSGACP00000005583	ENSGACG00000004236	annotation not available
23	G3NJU3	69293.ENSGACP00000005605	ENSGACG00000004252	Myosin, light chain 12, genome duplicate 1
24	G3NLD8	69293.ENSGACP00000006151	ENSGACG00000004648	High density lipoprotein-binding protein a
26	G3NNM8	69293.ENSGACP00000006942	ENSGACG00000005228	Alpha-2-macroglobulin-like 1
27	G3NNT7	69293.ENSGACP00000007001	ENSGACG00000005290	Heat shock protein family, alpha-crystallin-related, b7; Belongs to the small heat shock protein (HSP20) family
28	G3NPA2	69293.ENSGACP00000007166	ENSGACG00000005419	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
29	G3NRG5	69293.ENSGACP00000007932	ENSGACG00000005994	Neural cell adhesion molecule 3; Si:dkey-77d17.6
