queryIndex	queryItem	stringId	preferredName	annotation
1	G3N508	69293.ENSGACP00000000378	MYLK	Myosin light chain kinase b
2	G3N556	69293.ENSGACP00000000426	ENSGACG00000000332	Proteasome (prosome, macropain) subunit, alpha type,5
3	G3N5P1	69293.ENSGACP00000000615	ENSGACG00000000474	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
4	G3N6A9	69293.ENSGACP00000000834	ENSGACG00000000642	Filamin C, gamma b (actin binding protein 280)
5	G3N6B5	69293.ENSGACP00000000840	ENSGACG00000000651	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
6	G3N738	69293.ENSGACP00000001114	ENSGACG00000000860	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
9	G3N7Z3	69293.ENSGACP00000001427	ENSGACG00000001103	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
10	G3N8I6	69293.ENSGACP00000001621	ENSGACG00000001249	Uncharacterized protein; Histone H1 like
11	G3N8J1	69293.ENSGACP00000019637	ENSGACG00000014877	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
12	G3NBG2	69293.ENSGACP00000002659	ENSGACG00000002035	Ribosomal protein L8
13	G3NBJ8	69293.ENSGACP00000002709	ENSGACG00000002083	annotation not available
14	G3NBU5	69293.ENSGACP00000002793	ENSGACG00000002145	Slow myosin heavy chain 3; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
15	G3NCF7	69293.ENSGACP00000003007	ENSGACG00000002310	Caveolae associated protein 2a; Serum deprivation response a
16	G3NDY7	69293.ENSGACP00000003538	ENSGACG00000002699	Ribosomal protein L32
17	G3NE33	69293.ENSGACP00000003733	ENSGACG00000002850	annotation not available
19	G3NG36	69293.ENSGACP00000004291	ENSGACG00000003262	Small nuclear ribonucleoprotein polypeptides B and B1
22	G3NIG2	69293.ENSGACP00000005122	ENSGACG00000003895	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
23	G3NKB4	69293.ENSGACP00000005776	ENSGACG00000004372	Ribosomal protein L22
24	G3NLJ0	69293.ENSGACP00000006203	ENSGACG00000004699	Ribosomal protein L35a
25	G3NPV3	69293.ENSGACP00000007368	ENSGACG00000005555	Programmed cell death 6 interacting protein
26	G3NR75	69293.ENSGACP00000007842	ENSGACG00000005931	annotation not available
27	G3NS10	69293.ENSGACP00000008127	ENSGACG00000006109	Actin, alpha, cardiac muscle 1a; Belongs to the actin family
28	G3NSD2	69293.ENSGACP00000008249	ENSGACG00000006221	ATP-citrate synthase; ATP-citrate synthase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues; In the C-terminal section; belongs to the succinate/malate CoA ligase alpha subunit family
29	G3NT23	69293.ENSGACP00000008491	ENSGACG00000006417	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
30	G3NTD6	69293.ENSGACP00000008604	ENSGACG00000006418	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
31	G3NU97	69293.ENSGACP00000008915	ENSGACG00000006703	Ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family
32	G3NUU3	69293.ENSGACP00000009112	ENSGACG00000006855	Tumor protein, translationally-controlled 1; Belongs to the TCTP family
33	G3NW14	69293.ENSGACP00000009533	ENSGACG00000007164	6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH; Belongs to the 6-phosphogluconate dehydrogenase family
34	G3NXX5	69293.ENSGACP00000010195	ENSGACG00000007661	Actin, alpha, cardiac muscle 1; Belongs to the actin family
35	G3NY86	69293.ENSGACP00000010306	ENSGACG00000007744	Glucose phosphate isomerase a; Belongs to the GPI family
36	G3NYX9	69293.ENSGACP00000010550	ENSGACG00000007959	Lymphocyte cytosolic plastin 1
37	G3NZM5	69293.ENSGACP00000010798	ENSGACG00000008140	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)
40	G3P3G8	69293.ENSGACP00000012141	ENSGACG00000009066	T-complex 1; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
41	G3P3K4	69293.ENSGACP00000012177	ENSGACG00000009193	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform
42	G3P5V0	69293.ENSGACP00000012973	ENSGACG00000009814	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
43	G3P654	69293.ENSGACP00000013077	ENSGACG00000009903	Ubiquitin-like modifier activating enzyme 1; Belongs to the ubiquitin-activating E1 family
44	G3P6S6	69293.ENSGACP00000013300	ENSGACG00000010067	Heat shock protein 90, beta (grp94), member 1
47	G3P8Y4	69293.ENSGACP00000014058	ENSGACG00000010631	Histidine triad nucleotide binding protein 1
