queryIndex	queryItem	stringId	preferredName	annotation
2	G3N556	69293.ENSGACP00000000426	ENSGACG00000000332	Proteasome (prosome, macropain) subunit, alpha type,5
3	G3N577	69293.ENSGACP00000000447	ENSGACG00000000352	annotation not available
4	G3N5P1	69293.ENSGACP00000000615	ENSGACG00000000474	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
6	G3N7Z3	69293.ENSGACP00000001427	ENSGACG00000001103	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
7	G3N8J1	69293.ENSGACP00000019637	ENSGACG00000014877	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
8	G3N8X9	69293.ENSGACP00000001765	ENSGACG00000001357	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
9	G3NBG2	69293.ENSGACP00000002659	ENSGACG00000002035	Ribosomal protein L8
10	G3NDE4	69293.ENSGACP00000003344	NDUFB4	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
11	G3NE33	69293.ENSGACP00000003733	ENSGACG00000002850	annotation not available
13	G3NG11	69293.ENSGACP00000004266	ENSGACG00000003250	Ribosomal protein L24
14	G3NGV7	69293.ENSGACP00000004564	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
15	G3NHE9	69293.ENSGACP00000004757	ENSGACG00000003628	Ribosomal protein L30
16	G3NHR1	69293.ENSGACP00000004871	ENSGACG00000003705	Hyaluronan binding protein 2
17	G3NIG2	69293.ENSGACP00000005122	ENSGACG00000003895	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
18	G3NJS1	69293.ENSGACP00000005583	ENSGACG00000004236	annotation not available
19	G3NJU3	69293.ENSGACP00000005605	ENSGACG00000004252	Myosin, light chain 12, genome duplicate 1
20	G3NLD8	69293.ENSGACP00000006151	ENSGACG00000004648	High density lipoprotein-binding protein a
21	G3NLJ0	69293.ENSGACP00000006203	ENSGACG00000004699	Ribosomal protein L35a
23	G3NPA2	69293.ENSGACP00000007166	ENSGACG00000005419	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
24	G3NPV3	69293.ENSGACP00000007368	ENSGACG00000005555	Programmed cell death 6 interacting protein
25	G3NRK0	69293.ENSGACP00000007967	RPSA	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
26	G3NS10	69293.ENSGACP00000008127	ENSGACG00000006109	Actin, alpha, cardiac muscle 1a; Belongs to the actin family
28	G3NT23	69293.ENSGACP00000008491	ENSGACG00000006417	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
29	G3NTC1	69293.ENSGACP00000008589	ENSGACG00000006428	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1b
30	G3NTD6	69293.ENSGACP00000008604	ENSGACG00000006418	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
31	G3NU97	69293.ENSGACP00000008915	ENSGACG00000006703	Ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family
32	G3NUA6	69293.ENSGACP00000008924	ENSGACG00000006721	ER lipid raft associated 1
33	G3NW14	69293.ENSGACP00000009533	ENSGACG00000007164	6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH; Belongs to the 6-phosphogluconate dehydrogenase family
34	G3NXQ8	69293.ENSGACP00000010128	ENSGACG00000007599	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1
35	G3NXT2	69293.ENSGACP00000010152	EIF3C	Eukaryotic translation initiation factor 3 subunit C; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
36	G3NXX5	69293.ENSGACP00000010195	ENSGACG00000007661	Actin, alpha, cardiac muscle 1; Belongs to the actin family
37	G3NYB9	69293.ENSGACP00000010339	ENSGACG00000007796	annotation not available
38	G3NYX9	69293.ENSGACP00000010550	ENSGACG00000007959	Lymphocyte cytosolic plastin 1
39	G3NZN3	69293.ENSGACP00000010806	ENSGACG00000008160	Myosin, light chain 9b, regulatory
41	G3P3G8	69293.ENSGACP00000012141	ENSGACG00000009066	T-complex 1; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
44	G3P5V0	69293.ENSGACP00000012973	ENSGACG00000009814	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
45	G3P6S6	69293.ENSGACP00000013300	ENSGACG00000010067	Heat shock protein 90, beta (grp94), member 1
48	G3P8D8	69293.ENSGACP00000013862	TUBB8P7	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
49	G3P8Y4	69293.ENSGACP00000014058	ENSGACG00000010631	Histidine triad nucleotide binding protein 1
50	G3P920	69293.ENSGACP00000014094	ENSGACG00000010634	annotation not available
51	G3P970	69293.ENSGACP00000014144	ENSGACG00000010689	Annexin A2a
52	G3P9S4	69293.ENSGACP00000014348	ENSGACG00000010827	Isocitrate dehydrogenase 2 (NADP+), mitochondrial; Belongs to the isocitrate and isopropylmalate dehydrogenases family
53	G3PA34	69293.ENSGACP00000014458	ENSGACG00000010916	Ribosomal protein S12; Belongs to the eukaryotic ribosomal protein eS12 family
54	G3PCE1	69293.ENSGACP00000015265	ENSGACG00000011524	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
55	G3PCE2	69293.ENSGACP00000015266	ENSGACG00000011546	Annexin A1a
56	G3PCG6	69293.ENSGACP00000015290	ENSGACG00000011558	Ribosomal protein S27a
57	G3PDV0	69293.ENSGACP00000015774	ENSGACG00000011905	Ribosomal protein S2; Belongs to the universal ribosomal protein uS5 family
59	G3PFE7	69293.ENSGACP00000016321	ENSGACG00000012351	PYD and CARD domain containing
60	G3PHA5	69293.ENSGACP00000016980	ENSGACG00000012793	Uncharacterized protein; Eukaryotic translation elongation factor 2a, tandem duplicate 2
63	G3PJ10	69293.ENSGACP00000017589	ENSGACG00000013304	Ribosomal protein L22
64	G3PJ29	69293.ENSGACP00000017608	ENSGACG00000013298	Rho GDP dissociation inhibitor (GDI) alpha
65	G3PJV6	69293.ENSGACP00000017886	HSP90AB1	Heat shock protein 90kDa alpha (cytosolic), class B member 1
66	G3PKP7	69293.ENSGACP00000018177	ENSGACG00000013731	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
67	G3PLE8	69293.ENSGACP00000018429	ATP5B	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
68	G3PM61	69293.ENSGACP00000018692	ENSGACG00000014155	Cytochrome b-c1 complex subunit Rieske, mitochondrial; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
69	G3PP08	69293.ENSGACP00000019341	ENSGACG00000014635	Ribosomal protein L27; Belongs to the eukaryotic ribosomal protein eL27 family
70	G3PP78	69293.ENSGACP00000019411	CCT2	Chaperonin containing TCP1 subunit 2; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
71	G3PPN8	69293.ENSGACP00000019573	ENSGACG00000014821	NADH dehydrogenase (ubiquinone) Fe-S protein 1; Belongs to the complex I 75 kDa subunit family
72	G3PPP6	69293.ENSGACP00000019581	ENSGACG00000014828	Lactoylglutathione lyase; Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione
73	G3PQL2	69293.ENSGACP00000019897	ENSGACG00000015085	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
74	G3PQX4	69293.ENSGACP00000020009	ENSGACG00000015169	Ribosomal protein L31
75	G3PSB5	69293.ENSGACP00000020501	ENSGACG00000015542	annotation not available
76	G3PSB6	69293.ENSGACP00000020502	ENSGACG00000015545	Hyaluronan and proteoglycan link protein 1b
77	G3PVG3	69293.ENSGACP00000021600	ENSGACG00000016363	Transmembrane emp24 protein transport domain containing 9
78	G3PVK4	69293.ENSGACP00000021643	ENSGACG00000016368	Talin 2a
82	G3PYA1	69293.ENSGACP00000022591	ENSGACG00000017102	annotation not available
83	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
85	G3Q0N5	69293.ENSGACP00000023430	ENSGACG00000017708	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4; Belongs to the mitochondrial carrier (TC 2.A.29) family
86	G3Q162	69293.ENSGACP00000023610	ENSGACG00000017868	Macrophage migration inhibitory factor
87	G3Q289	69293.ENSGACP00000023988	ENSGACG00000018150	Gelsolin a
88	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
89	G3Q393	69293.ENSGACP00000024345	ENSGACG00000018404	Spectrin alpha 2
90	G3Q3X8	69293.ENSGACP00000024582	ENSGACG00000018584	Talin 1
91	G3Q3Z6	69293.ENSGACP00000024600	ENSGACG00000018609	Clathrin light chain; Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
92	G3Q4Z0	69293.ENSGACP00000024944	ENSGACG00000018863	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
93	G3Q6T4	69293.ENSGACP00000025594	ENSGACG00000019365	Sex hormone binding globulin
94	G3Q972	69293.ENSGACP00000026436	ENSGACG00000020009	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
97	G3QBL0	69293.ENSGACP00000027276	ENSGACG00000020621	Serine/arginine-rich splicing factor 1b
98	G3QBU5	69293.ENSGACP00000027361	SLC25A5	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
99	G3QCC3	69293.ENSGACP00000027539	ENSGACG00000020830	Heterogeneous nuclear ribonucleoprotein A/Ba
