"node1","node2","string_id1","string_id2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"G3N556","G3NBG2","69293.ENSGACP00000000426","69293.ENSGACP00000002659",0,0,0.265,0,0.139,0,0.114,0.062,0.403
"G3N556","G3P9S4","69293.ENSGACP00000000426","69293.ENSGACP00000014348",0,0,0,0,0.056,0,0.364,0.1,0.412
"G3N556","G3NIG2","69293.ENSGACP00000000426","69293.ENSGACP00000005122",0,0,0.284,0,0.142,0,0.124,0,0.414
"G3N556","G3NTD6","69293.ENSGACP00000000426","69293.ENSGACP00000008604",0,0,0,0,0.118,0.365,0,0,0.415
"G3N556","G3NU97","69293.ENSGACP00000000426","69293.ENSGACP00000008915",0,0,0.32,0,0.183,0,0,0.067,0.436
"G3N556","G3PJV6","69293.ENSGACP00000000426","69293.ENSGACP00000017886",0,0,0,0,0.161,0,0.365,0,0.444
"G3N556","G3Q162","69293.ENSGACP00000000426","69293.ENSGACP00000023610",0,0,0,0,0.054,0,0.464,0.042,0.471
"G3N556","G3NRK0","69293.ENSGACP00000000426","69293.ENSGACP00000007967",0,0,0.306,0,0.236,0,0.124,0,0.494
"G3N556","G3PP08","69293.ENSGACP00000000426","69293.ENSGACP00000019341",0,0,0,0,0.465,0,0.114,0,0.505
"G3N556","G3Q972","69293.ENSGACP00000000426","69293.ENSGACP00000026436",0,0,0,0,0.478,0.052,0.114,0,0.523
"G3N556","G3PHA5","69293.ENSGACP00000000426","69293.ENSGACP00000016980",0,0,0,0,0.175,0,0.38,0.152,0.528
"G3N556","G3PDV0","69293.ENSGACP00000000426","69293.ENSGACP00000015774",0,0,0,0,0.461,0,0.092,0.167,0.556
"G3N556","G3P3G8","69293.ENSGACP00000000426","69293.ENSGACP00000012141",0,0,0.339,0,0.491,0.108,0,0.048,0.676
"G3N556","G3PP78","69293.ENSGACP00000000426","69293.ENSGACP00000019411",0,0,0.254,0,0.764,0.108,0,0.048,0.83
"G3N556","G3PCG6","69293.ENSGACP00000000426","69293.ENSGACP00000015290",0,0,0,0,0.129,0.883,0.621,0.113,0.961
"G3N577","G3PHA5","69293.ENSGACP00000000447","69293.ENSGACP00000016980",0,0,0,0,0.163,0.112,0.156,0.192,0.425
"G3N577","G3NXX5","69293.ENSGACP00000000447","69293.ENSGACP00000010195",0,0,0,0.983,0.055,0.42,0,0.066,0.428
"G3N577","G3NYX9","69293.ENSGACP00000000447","69293.ENSGACP00000010550",0,0,0,0,0.054,0.335,0.119,0.174,0.48
"G3N577","G3PYA1","69293.ENSGACP00000000447","69293.ENSGACP00000022591",0,0,0,0,0.06,0.334,0.199,0.133,0.507
"G3N577","G3PP78","69293.ENSGACP00000000447","69293.ENSGACP00000019411",0,0,0,0,0.054,0.308,0.227,0.212,0.547
"G3N577","G3P3G8","69293.ENSGACP00000000447","69293.ENSGACP00000012141",0,0,0,0,0.055,0.278,0.227,0.281,0.57
"G3N577","G3P920","69293.ENSGACP00000000447","69293.ENSGACP00000014094",0,0,0,0,0.048,0.417,0.101,0.276,0.59
"G3N577","G3NZN3","69293.ENSGACP00000000447","69293.ENSGACP00000010806",0,0,0,0,0.06,0.334,0.365,0.152,0.617
"G3N577","G3NJU3","69293.ENSGACP00000000447","69293.ENSGACP00000005605",0,0,0,0,0.06,0.334,0.365,0.232,0.653
"G3N577","G3Q289","69293.ENSGACP00000000447","69293.ENSGACP00000023988",0,0,0,0,0.054,0.402,0.131,0.387,0.658
"G3N5P1","G3Q0N5","69293.ENSGACP00000000615","69293.ENSGACP00000023430",0,0,0,0,0.152,0.398,0,0,0.467
"G3N5P1","G3QBU5","69293.ENSGACP00000000615","69293.ENSGACP00000027361",0,0,0,0,0.152,0.398,0,0,0.467
"G3N5P1","G3NTD6","69293.ENSGACP00000000615","69293.ENSGACP00000008604",0.121,0,0,0,0.245,0,0,0.315,0.505
"G3N5P1","G3PLE8","69293.ENSGACP00000000615","69293.ENSGACP00000018429",0,0,0,0,0.211,0,0,0.439,0.538
