node	identifier	x_position	y_position	color	annotation
G3N556	69293.ENSGACP00000000426	0.6125	0.13875739644970414	rgb(239,117,117)	Proteasome (prosome, macropain) subunit, alpha type,5
G3N7Z3	69293.ENSGACP00000001427	0.5239754098360656	0.8701183431952664	rgb(255,0,0)	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
G3NGV7	69293.ENSGACP00000004564	0.5405737704918033	0.5772189349112427	rgb(150,101,255)	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
G3NIG2	69293.ENSGACP00000005122	0.4880122950819672	0.21508875739644973	rgb(255,175,101)	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
G3NJS1	69293.ENSGACP00000005583	0.5931352459016395	0.4085798816568047	rgb(239,207,117)	annotation not available
G3NPA2	69293.ENSGACP00000007166	0.3478483606557377	0.7937869822485207	rgb(101,199,255)	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
G3PCG6	69293.ENSGACP00000015290	0.5654713114754099	0.27544378698224853	rgb(178,171,0)	Ribosomal protein S27a
G3PLE8	69293.ENSGACP00000018429	0.4529713114754098	0.6943786982248521	rgb(101,255,163)	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
G3PPN8	69293.ENSGACP00000019573	0.3589139344262295	0.5985207100591716	rgb(0,178,157)	NADH dehydrogenase (ubiquinone) Fe-S protein 1; Belongs to the complex I 75 kDa subunit family
G3PSB6	69293.ENSGACP00000020502	0.4354508196721312	0.37485207100591716	rgb(187,255,101)	Hyaluronan and proteoglycan link protein 1b
G3Q289	69293.ENSGACP00000023988	0.6456967213114755	0.5097633136094676	rgb(0,28,178)	Gelsolin a
G3QBU5	69293.ENSGACP00000027361	0.47879098360655736	0.4813609467455621	rgb(239,162,117)	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
Q804E3	69293.ENSGACP00000009457	0.5931352459016395	0.6784023668639054	rgb(14,178,0)	Homeo box A13a
